hour,nl_demand
1,0
2,8136
3,8166
4,8320
5,8329
6,8335
7,8345
8,8354
9,8354
10,8376
11,8383
12,8392
13,8413
14,8430
15,8457
16,8467
17,8470
18,8492
19,8493
20,8516
21,8524
22,8527
23,8552
24,8560
25,8561
26,8580
27,8584
28,8585
29,8587
30,8590
31,8594
32,8601
33,8602
34,8607
35,8615
36,8617
37,8628
38,8630
39,8635
40,8637
41,8639
42,8651
43,8651
44,8652
45,8652
46,8655
47,8657
48,8661
49,8671
50,8681
51,8684
52,8684
53,8687
54,8689
55,8696
56,8697
57,8702
58,8706
59,8710
60,8717
61,8718
62,8719
63,8721
64,8722
65,8727
66,8736
67,8740
68,8754
69,8755
70,8756
71,8758
72,8760
73,8761
74,8766
75,8767
76,8769
77,8769
78,8771
79,8771
80,8772
81,8772
82,8772
83,8773
84,8774
85,8776
86,8780
87,8782
88,8784
89,8794
90,8797
91,8799
92,8800
93,8806
94,8806
95,8817
96,8819
97,8827
98,8828
99,8829
100,8836
101,8838
102,8838
103,8839
104,8839
105,8847
106,8851
107,8852
108,8853
109,8857
110,8858
111,8858
112,8863
113,8866
114,8876
115,8880
116,8880
117,8883
118,8884
119,8888
120,8889
121,8893
122,8897
123,8897
124,8899
125,8900
126,8900
127,8902
128,8904
129,8909
130,8909
131,8910
132,8910
133,8911
134,8913
135,8917
136,8917
137,8918
138,8920
139,8921
140,8922
141,8925
142,8925
143,8926
144,8926
145,8927
146,8930
147,8931
148,8933
149,8933
150,8936
151,8938
152,8938
153,8938
154,8940
155,8944
156,8947
157,8948
158,8948
159,8954
160,8956
161,8957
162,8960
163,8964
164,8966
165,8971
166,8972
167,8972
168,8973
169,8975
170,8976
171,8978
172,8980
173,8980
174,8983
175,8984
176,8984
177,8989
178,8990
179,8993
180,8994
181,8998
182,8998
183,9000
184,9002
185,9003
186,9006
187,9006
188,9007
189,9008
190,9010
191,9010
192,9011
193,9011
194,9012
195,9016
196,9017
197,9017
198,9024
199,9024
200,9028
201,9029
202,9030
203,9031
204,9031
205,9033
206,9033
207,9038
208,9042
209,9043
210,9043
211,9045
212,9047
213,9047
214,9048
215,9049
216,9051
217,9054
218,9057
219,9058
220,9062
221,9063
222,9067
223,9070
224,9072
225,9072
226,9074
227,9075
228,9075
229,9080
230,9081
231,9083
232,9084
233,9084
234,9087
235,9089
236,9092
237,9093
238,9094
239,9096
240,9098
241,9098
242,9098
243,9099
244,9100
245,9101
246,9102
247,9102
248,9109
249,9109
250,9110
251,9111
252,9112
253,9113
254,9116
255,9117
256,9118
257,9122
258,9126
259,9126
260,9126
261,9127
262,9128
263,9129
264,9129
265,9129
266,9133
267,9133
268,9135
269,9135
270,9136
271,9136
272,9139
273,9140
274,9142
275,9145
276,9147
277,9147
278,9148
279,9149
280,9151
281,9153
282,9153
283,9154
284,9155
285,9157
286,9158
287,9158
288,9161
289,9162
290,9163
291,9166
292,9167
293,9169
294,9170
295,9171
296,9175
297,9176
298,9179
299,9179
300,9180
301,9180
302,9181
303,9181
304,9183
305,9183
306,9184
307,9185
308,9187
309,9188
310,9188
311,9189
312,9191
313,9193
314,9194
315,9199
316,9199
317,9203
318,9203
319,9203
320,9207
321,9208
322,9209
323,9211
324,9211
325,9211
326,9217
327,9218
328,9219
329,9219
330,9220
331,9221
332,9221
333,9224
334,9224
335,9225
336,9225
337,9225
338,9226
339,9226
340,9227
341,9227
342,9227
343,9228
344,9230
345,9231
346,9231
347,9231
348,9234
349,9234
350,9236
351,9236
352,9236
353,9236
354,9237
355,9237
356,9238
357,9239
358,9242
359,9244
360,9247
361,9247
362,9248
363,9248
364,9249
365,9249
366,9249
367,9251
368,9254
369,9258
370,9258
371,9258
372,9260
373,9262
374,9264
375,9264
376,9266
377,9267
378,9267
379,9269
380,9269
381,9271
382,9271
383,9271
384,9273
385,9274
386,9274
387,9274
388,9275
389,9276
390,9278
391,9280
392,9280
393,9280
394,9281
395,9281
396,9281
397,9281
398,9282
399,9283
400,9284
401,9284
402,9284
403,9288
404,9289
405,9290
406,9292
407,9292
408,9293
409,9293
410,9294
411,9294
412,9298
413,9300
414,9302
415,9302
416,9307
417,9307
418,9307
419,9307
420,9307
421,9309
422,9310
423,9310
424,9310
425,9311
426,9311
427,9311
428,9312
429,9313
430,9315
431,9315
432,9316
433,9316
434,9317
435,9317
436,9317
437,9318
438,9318
439,9319
440,9321
441,9321
442,9321
443,9321
444,9321
445,9321
446,9321
447,9321
448,9325
449,9325
450,9325
451,9326
452,9326
453,9327
454,9329
455,9329
456,9330
457,9333
458,9334
459,9334
460,9335
461,9335
462,9336
463,9336
464,9336
465,9337
466,9339
467,9339
468,9339
469,9340
470,9340
471,9342
472,9342
473,9342
474,9344
475,9344
476,9345
477,9346
478,9348
479,9348
480,9349
481,9351
482,9351
483,9353
484,9354
485,9354
486,9354
487,9354
488,9355
489,9355
490,9358
491,9360
492,9360
493,9360
494,9361
495,9361
496,9362
497,9364
498,9365
499,9366
500,9367
501,9369
502,9369
503,9369
504,9370
505,9370
506,9371
507,9371
508,9376
509,9376
510,9379
511,9380
512,9380
513,9381
514,9382
515,9382
516,9383
517,9384
518,9384
519,9385
520,9387
521,9387
522,9388
523,9388
524,9390
525,9391
526,9391
527,9392
528,9393
529,9393
530,9393
531,9393
532,9394
533,9394
534,9396
535,9398
536,9399
537,9399
538,9399
539,9399
540,9400
541,9400
542,9401
543,9402
544,9403
545,9403
546,9404
547,9404
548,9407
549,9407
550,9408
551,9408
552,9408
553,9408
554,9409
