hour,nl_node_1,nl_node_2,nl_node_3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0.00172,0.00109
7,0,0.00344,0.00218
8,0,0.00516,0.00326
9,0.012,0.02966,0.01877
10,0.04,0.05417,0.03428
11,0.06,0.07867,0.04978
12,0.056,0.08306,0.05256
13,0.06,0.08746,0.05534
14,0.036,0.09185,0.05812
15,0.012,0.07035,0.04451
16,0,0.04884,0.03091
17,0,0.02734,0.0173
18,0,0.01829,0.01157
19,0,0.00924,0.00585
20,0,0.00018,0.00012
21,0,0.00012,0.00008
22,0,0.00006,0.00004
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0.00131,0.00083
31,0,0.00262,0.00166
32,0,0.00393,0.00249
33,0.004,0.02013,0.01274
34,0.019,0.03633,0.02299
35,0.092,0.05254,0.03325
36,0.269,0.05275,0.03338
37,0.36,0.05296,0.03351
38,0.279,0.05317,0.03364
39,0.114,0.04012,0.02539
40,0.003,0.02708,0.01714
41,0,0.01404,0.00889
42,0,0.00938,0.00593
43,0,0.00471,0.00298
44,0,0.00005,0.00003
45,0,0.00004,0.00002
46,0,0.00002,0.00001
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0.00166,0.00105
55,0,0.00331,0.0021
56,0,0.00497,0.00315
57,0.003,0.03113,0.0197
58,0.031,0.05728,0.03625
59,0.094,0.08343,0.0528
60,0.152,0.08872,0.05614
61,0.12,0.094,0.05948
62,0.075,0.09928,0.06283
63,0.028,0.07616,0.04819
64,0,0.05303,0.03355
65,0,0.0299,0.01892
66,0,0.02,0.01266
67,0,0.0101,0.00639
68,0,0.00021,0.00013
69,0,0.00014,0.00009
70,0,0.00008,0.00005
71,0,0.00002,0.00001
72,0,0.00002,0.00001
73,0,0.00001,0.00001
74,0,0.00001,0.00001
75,0,0.00001,0
76,0,0,0
77,0,0,0
78,0,0.00209,0.00132
79,0,0.00419,0.00265
80,0,0.00628,0.00397
81,0.029,0.03291,0.02083
