hour,nl_node_1,nl_node_2,nl_node_3
1,0.708,0.63785,0.56955
2,0.705,0.63785,0.56955
3,0.726,0.59934,0.53517
4,0.766,0.55947,0.49956
5,0.807,0.55947,0.49956
6,0.839,0.52989,0.47315
7,0.865,0.49991,0.44638
8,0.892,0.49991,0.44638
9,0.909,0.42578,0.38019
10,0.919,0.35197,0.31428
11,0.92,0.35197,0.31428
12,0.921,0.26533,0.23692
13,0.93,0.18552,0.16566
14,0.945,0.18552,0.16566
15,0.961,0.17135,0.153
16,0.974,0.15757,0.1407
17,0.981,0.15757,0.1407
18,0.979,0.10754,0.09602
19,0.974,0.06563,0.0586
20,0.972,0.06563,0.0586
21,0.974,0.02341,0.0209
22,0.977,0.00425,0.00379
23,0.979,0.00425,0.00379
24,0.98,0.00355,0.00317
25,0.98,0.00393,0.00351
26,0.981,0.00393,0.00351
27,0.981,0.01568,0.014
28,0.978,0.05758,0.05141
29,0.973,0.05758,0.05141
30,0.966,0.06634,0.05924
31,0.955,0.07567,0.06756
32,0.932,0.07567,0.06756
33,0.884,0.06785,0.06059
34,0.803,0.06043,0.05396
35,0.759,0.06043,0.05396
36,0.765,0.07236,0.06461
37,0.752,0.08524,0.07611
38,0.749,0.08524,0.07611
39,0.724,0.13843,0.1236
40,0.702,0.20093,0.17942
41,0.729,0.20093,0.17942
42,0.787,0.2396,0.21395
43,0.836,0.28015,0.25015
44,0.863,0.28015,0.25015
45,0.876,0.25278,0.22571
46,0.879,0.22619,0.20197
47,0.877,0.22619,0.20197
48,0.867,0.2112,0.18859
49,0.885,0.19654,0.17549
50,0.919,0.19654,0.17549
51,0.948,0.28788,0.25705
52,0.967,0.38663,0.34523
53,0.976,0.38663,0.34523
54,0.979,0.38028,0.33956
55,0.978,0.37394,0.3339
56,0.972,0.37394,0.3339
57,0.964,0.29435,0.26283
58,0.956,0.21937,0.19588
59,0.956,0.21937,0.19588
60,0.963,0.14288,0.12758
61,0.97,0.07951,0.071
62,0.976,0.07951,0.071
63,0.98,0.05204,0.04647
64,0.981,0.03014,0.02691
65,0.981,0.03014,0.02691
66,0.981,0.01603,0.01431
67,0.981,0.00704,0.00628
68,0.98,0.00704,0.00628
69,0.979,0.00359,0.0032
70,0.974,0,0
71,0.966,0.00913,0.00815
72,0.961,0.00367,0.00328
73,0.961,0.00608,0.00543
74,0.969,0.00608,0.00543
75,0.98,0.01694,0.01512
76,0.974,0.03564,0.03182
77,0.932,0.03564,0.03182
78,0.848,0.05695,0.05085
79,0.809,0.08282,0.07395
80,0.788,0.08282,0.07395
81,0.803,0.09772,0.08726
82,0.84,0.11364,0.10148
83,0.88,0.11364,0.10148
84,0.911,0.11972,0.1069
85,0.93,0.12591,0.11243
86,0.938,0.12591,0.11243
87,0.936,0.13438,0.11999
88,0.922,0.14306,0.12774
89,0.899,0.14306,0.12774
90,0.869,0.12335,0.11015
91,0.835,0.10482,0.0936
92,0.786,0.10482,0.0936
93,0.722,0.12697,0.11337
94,0.628,0.15074,0.1346
95,0.544,0.15074,0.1346
96,0.507,0.19788,0.17669
97,0.541,0.24902,0.22235
98,0.587,0.24902,0.22235
99,0.579,0.24506,0.21882
100,0.544,0.24112,0.2153
101,0.51,0.24112,0.2153
102,0.557,0.25171,0.22476
103,0.633,0.26243,0.23433
104,0.689,0.26243,0.23433
105,0.705,0.29237,0.26106
106,0.643,0.32301,0.28843
107,0.592,0.32301,0.28843
108,0.617,0.34249,0.30582
109,0.626,0.36215,0.32337
110,0.619,0.36215,0.32337
111,0.652,0.30536,0.27266
112,0.722,0.25073,0.22388
113,0.818,0.25073,0.22388
114,0.887,0.22773,0.20334
115,0.916,0.2054,0.1834
116,0.935,0.2054,0.1834
117,0.954,0.2073,0.1851
118,0.969,0.20921,0.18681
119,0.978,0.20921,0.18681
120,0.981,0.1982,0.17698
121,0.981,0.18738,0.16732
122,0.981,0.18738,0.16732
123,0.977,0.17769,0.15867
124,0.967,0.16818,0.15017
125,0.965,0.16818,0.15017
126,0.97,0.13945,0.12452
127,0.974,0.11281,0.10073
128,0.977,0.11281,0.10073
129,0.979,0.07617,0.06801
130,0.981,0.04603,0.0411
131,0.981,0.04603,0.0411
132,0.981,0.03759,0.03357
133,0.981,0.03001,0.0268
134,0.98,0.03001,0.0268
135,0.98,0.03385,0.03022
136,0.98,0.03791,0.03385
137,0.977,0.03791,0.03385
138,0.973,0.01749,0.01561
139,0.972,0.0059,0.00527
140,0.973,0.0059,0.00527
141,0.976,0.00494,0.00441
142,0.98,0.00423,0.00378
143,0.981,0.00423,0.00378
144,0.979,0.00375,0.00335
145,0.977,0.00355,0.00317
146,0.976,0.00355,0.00317
147,0.976,0.00402,0.00359
148,0.976,0.00522,0.00466
149,0.977,0.00522,0.00466
150,0.977,0.00836,0.00746
151,0.978,0.01305,0.01165
152,0.979,0.01305,0.01165
153,0.98,0.02601,0.02323
154,0.979,0.04394,0.03924
155,0.978,0.04394,0.03924
156,0.977,0.06494,0.05799
157,0.977,0.08961,0.08001
158,0.979,0.08961,0.08001
159,0.98,0.0917,0.08188
160,0.981,0.09381,0.08376
161,0.981,0.09381,0.08376
162,0.979,0.10512,0.09387
163,0.976,0.11696,0.10444
164,0.974,0.11696,0.10444
165,0.973,0.1224,0.10929
166,0.969,0.12793,0.11423
167,0.963,0.12793,0.11423
168,0.952,0.08993,0.0803
169,0.95,0.05781,0.05162
170,0.929,0.05781,0.05162
171,0.899,0.03898,0.0348
172,0.889,0.02384,0.02128
173,0.896,0.02384,0.02128
174,0.908,0.04794,0.0428
175,0.914,0.08,0.07143
176,0.917,0.08,0.07143
177,0.924,0.1477,0.13188
178,0.934,0.22985,0.20523
179,0.941,0.22985,0.20523
180,0.944,0.26606,0.23757
181,0.944,0.30359,0.27109
182,0.932,0.30359,0.27109
183,0.911,0.35776,0.31945
184,0.865,0.4131,0.36887
185,0.791,0.4131,0.36887
186,0.682,0.47718,0.42608
187,0.553,0.5405,0.48263
188,0.454,0.5405,0.48263
189,0.398,0.584,0.52147
190,0.413,0.62607,0.55903
191,0.503,0.62607,0.55903
192,0.638,0.68314,0.60999
193,0.764,0.73507,0.65636
194,0.842,0.73507,0.65636
195,0.912,0.78606,0.70189
196,0.959,0.8269,0.73836
197,0.974,0.8269,0.73836
198,0.979,0.83596,0.74645
199,0.981,0.84411,0.75372
200,0.979,0.84411,0.75372
201,0.975,0.86327,0.77083
202,0.972,0.87196,0.77859
203,0.977,0.87196,0.77859
204,0.98,0.87236,0.77895
205,0.981,0.87199,0.77862
206,0.976,0.87199,0.77862
207,0.96,0.86975,0.77662
208,0.943,0.86541,0.77274
209,0.941,0.86541,0.77274
210,0.943,0.85959,0.76755
211,0.94,0.85192,0.7607
212,0.933,0.85192,0.7607
213,0.931,0.85987,0.7678
214,0.928,0.86582,0.77311
215,0.928,0.86582,0.77311
216,0.923,0.8683,0.77533
217,0.908,0.87019,0.77701
218,0.89,0.87019,0.77701
219,0.869,0.87195,0.77859
220,0.845,0.86514,0.7725
221,0.83,0.86514,0.7725
222,0.818,0.8518,0.76059
223,0.81,0.83229,0.74317
224,0.8,0.83229,0.74317
225,0.78,0.81151,0.72462
226,0.747,0.78711,0.70283
227,0.715,0.78711,0.70283
228,0.694,0.73838,0.65931
229,0.685,0.68188,0.60887
230,0.673,0.68188,0.60887
231,0.647,0.68172,0.60873
232,0.624,0.68157,0.60858
233,0.62,0.68157,0.60858
234,0.639,0.62443,0.55757
235,0.667,0.56348,0.50315
236,0.702,0.56348,0.50315
237,0.744,0.53122,0.47434
238,0.792,0.49847,0.4451
239,0.829,0.49847,0.4451
240,0.854,0.4771,0.42602
241,0.869,0.45565,0.40686
242,0.878,0.45565,0.40686
243,0.883,0.44252,0.39514
244,0.888,0.42939,0.38341
245,0.897,0.42939,0.38341
246,0.906,0.3974,0.35484
247,0.907,0.3656,0.32645
248,0.885,0.3656,0.32645
249,0.845,0.3701,0.33047
250,0.79,0.37461,0.3345
251,0.783,0.37461,0.3345
252,0.825,0.31579,0.28197
253,0.855,0.25907,0.23133
254,0.871,0.25907,0.23133
255,0.879,0.20198,0.18035
256,0.896,0.1497,0.13367
257,0.906,0.1497,0.13367
258,0.906,0.16912,0.15101
259,0.9,0.18935,0.16908
260,0.879,0.18935,0.16908
261,0.838,0.19625,0.17523
262,0.789,0.20322,0.18146
263,0.726,0.20322,0.18146
264,0.646,0.16656,0.14873
265,0.562,0.13258,0.11838
266,0.501,0.13258,0.11838
267,0.435,0.08202,0.07324
268,0.326,0.04239,0.03785
269,0.222,0.04239,0.03785
270,0.152,0.05527,0.04935
271,0.12,0.06973,0.06226
272,0.109,0.06973,0.06226
273,0.089,0.13368,0.11937
274,0.053,0.21265,0.18988
275,0.029,0.21265,0.18988
276,0.034,0.26248,0.23437
277,0.079,0.31492,0.2812
278,0.166,0.31492,0.2812
279,0.271,0.37054,0.33086
280,0.376,0.42719,0.38145
281,0.482,0.42719,0.38145
282,0.595,0.51118,0.45645
283,0.684,0.59272,0.52925
284,0.731,0.59272,0.52925
285,0.742,0.60726,0.54223
286,0.751,0.6216,0.55504
287,0.753,0.6216,0.55504
288,0.747,0.64671,0.57746
289,0.742,0.67104,0.59918
290,0.766,0.67104,0.59918
291,0.817,0.65967,0.58903
292,0.877,0.64811,0.57871
293,0.917,0.64811,0.57871
294,0.936,0.65356,0.58357
295,0.937,0.65896,0.5884
296,0.909,0.65896,0.5884
297,0.867,0.65058,0.58092
298,0.831,0.64211,0.57335
299,0.769,0.64211,0.57335
300,0.664,0.62038,0.55395
301,0.528,0.59813,0.53409
302,0.459,0.59813,0.53409
303,0.472,0.51838,0.46287
304,0.549,0.43601,0.38933
305,0.608,0.43601,0.38933
306,0.634,0.41246,0.36829
307,0.628,0.38897,0.34732
308,0.61,0.38897,0.34732
309,0.593,0.37165,0.33186
310,0.561,0.35443,0.31648
311,0.506,0.35443,0.31648
312,0.434,0.31037,0.27714
313,0.377,0.26756,0.23891
314,0.342,0.26756,0.23891
315,0.32,0.23014,0.20549
316,0.31,0.19443,0.17361
317,0.314,0.19443,0.17361
318,0.324,0.17618,0.15731
319,0.333,0.15855,0.14158
320,0.326,0.15855,0.14158
321,0.312,0.18211,0.16261
322,0.285,0.20675,0.18461
323,0.269,0.20675,0.18461
324,0.26,0.19767,0.1765
325,0.246,0.18872,0.16851
326,0.243,0.18872,0.16851
327,0.25,0.18065,0.16131
328,0.244,0.17271,0.15421
329,0.209,0.17271,0.15421
330,0.167,0.1761,0.15724
331,0.138,0.17952,0.1603
332,0.14,0.17952,0.1603
333,0.178,0.1595,0.14242
334,0.244,0.14034,0.12532
335,0.289,0.14034,0.12532
336,0.294,0.12838,0.11463
337,0.318,0.11684,0.10432
338,0.362,0.11684,0.10432
339,0.402,0.09707,0.08668
340,0.44,0.07886,0.07042
341,0.514,0.07886,0.07042
342,0.604,0.07395,0.06603
343,0.687,0.06918,0.06177
344,0.758,0.06918,0.06177
345,0.812,0.07488,0.06687
346,0.844,0.08079,0.07213
347,0.867,0.08079,0.07213
348,0.876,0.07408,0.06615
349,0.862,0.06763,0.06039
350,0.831,0.06763,0.06039
351,0.781,0.09524,0.08504
352,0.746,0.12671,0.11314
353,0.731,0.12671,0.11314
354,0.741,0.14732,0.13154
355,0.782,0.16906,0.15095
356,0.815,0.16906,0.15095
357,0.83,0.20732,0.18512
358,0.81,0.24797,0.22142
359,0.78,0.24797,0.22142
360,0.756,0.28538,0.25482
361,0.748,0.32399,0.2893
362,0.773,0.32399,0.2893
363,0.807,0.40786,0.36419
364,0.829,0.49276,0.44
365,0.838,0.49276,0.44
366,0.855,0.58899,0.52593
367,0.874,0.67813,0.60551
368,0.876,0.67813,0.60551
369,0.863,0.68897,0.6152
370,0.84,0.69961,0.6247
371,0.811,0.69961,0.6247
372,0.784,0.70556,0.63001
373,0.728,0.71144,0.63526
374,0.652,0.71144,0.63526
375,0.603,0.70886,0.63295
376,0.608,0.70626,0.63063
377,0.648,0.70626,0.63063
378,0.7,0.69048,0.61655
379,0.738,0.67424,0.60205
380,0.769,0.67424,0.60205
381,0.807,0.59454,0.53088
382,0.843,0.50894,0.45445
383,0.865,0.50894,0.45445
384,0.878,0.39959,0.3568
385,0.88,0.29241,0.2611
386,0.88,0.29241,0.2611
387,0.881,0.16612,0.14834
388,0.895,0.06794,0.06066
389,0.905,0.06794,0.06066
390,0.913,0.11406,0.10184
391,0.917,0.16938,0.15124
392,0.922,0.16938,0.15124
393,0.921,0.28563,0.25505
394,0.917,0.41461,0.37021
395,0.908,0.41461,0.37021
396,0.901,0.44993,0.40176
397,0.892,0.48519,0.43324
398,0.879,0.48519,0.43324
399,0.858,0.45081,0.40254
400,0.824,0.41636,0.37178
401,0.781,0.41636,0.37178
402,0.74,0.41076,0.36677
403,0.703,0.40516,0.36178
404,0.649,0.40516,0.36178
405,0.583,0.39839,0.35574
406,0.533,0.39164,0.3497
407,0.484,0.39164,0.3497
408,0.415,0.35375,0.31587
409,0.366,0.31644,0.28256
410,0.364,0.31644,0.28256
411,0.393,0.27125,0.2422
412,0.433,0.22788,0.20348
413,0.472,0.22788,0.20348
414,0.512,0.20561,0.18359
415,0.541,0.18408,0.16437
416,0.569,0.18408,0.16437
417,0.6,0.20116,0.17962
418,0.606,0.21872,0.1953
419,0.589,0.21872,0.1953
420,0.57,0.28334,0.253
421,0.557,0.3517,0.31404
422,0.545,0.3517,0.31404
423,0.526,0.39103,0.34916
424,0.536,0.4307,0.38458
425,0.584,0.4307,0.38458
426,0.633,0.36786,0.32847
427,0.666,0.30635,0.27354
428,0.695,0.30635,0.27354
429,0.716,0.26711,0.23851
430,0.716,0.22931,0.20475
431,0.682,0.22931,0.20475
432,0.638,0.20233,0.18066
433,0.603,0.17646,0.15757
434,0.57,0.17646,0.15757
435,0.551,0.14046,0.12542
436,0.554,0.10766,0.09613
437,0.578,0.10766,0.09613
438,0.634,0.07079,0.06321
439,0.698,0.04099,0.0366
440,0.743,0.04099,0.0366
441,0.761,0.0315,0.02812
442,0.74,0.02329,0.02079
443,0.682,0.02329,0.02079
444,0.575,0.02637,0.02355
445,0.443,0.02966,0.02648
446,0.331,0.02966,0.02648
447,0.248,0.04807,0.04292
448,0.193,0.07069,0.06312
449,0.158,0.07069,0.06312
450,0.125,0.11249,0.10044
451,0.092,0.16183,0.1445
452,0.061,0.16183,0.1445
453,0.034,0.17368,0.15508
454,0.015,0.18582,0.16592
455,0.004,0.18582,0.16592
456,0.001,0.18659,0.16661
457,0,0.18736,0.1673
458,0.001,0.18736,0.1673
459,0.006,0.20999,0.1875
460,0.014,0.23341,0.20842
461,0.023,0.23341,0.20842
462,0.03,0.26853,0.23978
463,0.038,0.30486,0.27222
464,0.051,0.30486,0.27222
465,0.07,0.3073,0.2744
466,0.074,0.30975,0.27658
467,0.06,0.30975,0.27658
468,0.047,0.32535,0.29051
469,0.044,0.34108,0.30456
470,0.041,0.34108,0.30456
471,0.034,0.34076,0.30427
472,0.029,0.34043,0.30398
473,0.028,0.34043,0.30398
474,0.025,0.34371,0.30691
475,0.02,0.347,0.30984
476,0.016,0.347,0.30984
477,0.014,0.31415,0.28051
478,0.013,0.28197,0.25178
479,0.013,0.28197,0.25178
480,0.009,0.24432,0.21816
481,0.004,0.20823,0.18593
482,0.001,0.20823,0.18593
483,0,0.18939,0.16911
484,0,0.17116,0.15283
485,0,0.17116,0.15283
486,0,0.18016,0.16087
487,0,0.18932,0.16904
488,0,0.18932,0.16904
489,0,0.19672,0.17566
490,0,0.20422,0.18235
491,0,0.20422,0.18235
492,0,0.18953,0.16923
493,0,0.17521,0.15644
494,0,0.17521,0.15644
495,0,0.12484,0.11147
496,0,0.08146,0.07273
497,0,0.08146,0.07273
