realtime,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
nl_target,0.1,0.13,0.19,0.25,0.31,0.37,0.38,0.39,0.4,0.41,0.42,0.425,0.43,0.435,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.8,0.8,0.8,0.8,0.8
nl_target_slow,0.1,0.105,0.11,0.115,0.12,0.125,0.13,0.135,0.14,0.145,0.15,0.155,0.16,0.165,0.17,0.175,0.18,0.185,0.19,0.195,0.2,0.205,0.21,0.215,0.22,0.225,0.23,0.235,0.24,0.245,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.285,0.29,0.295,0.3,0.305,0.31,0.315,0.32,0.325,0.33,0.335,0.34,0.345,0.35,0.355,0.36,0.365,0.37,0.375
nl_target_windon,0.017351885,0.022557451,0.032968582,0.043379713,0.053790844,0.064201975,0.065937163,0.067672352,0.06940754,0.071142729,0.072877917,0.073745511,0.074613106,0.0754807,0.076348294,0.078083483,0.079818671,0.08155386,0.083289048,0.085024237,0.086759425,0.088494614,0.090229802,0.091964991,0.093700179,0.095435368,0.097170556,0.098905745,0.100640933,0.102376122,0.10411131,0.105846499,0.107581687,0.109316876,0.111052064,0.112787253,0.114522441,0.11625763,0.117992818,0.119728007,0.121463195,0.123198384,0.124933572,0.126668761,0.128403949,0.130139138,0.131874326,0.133609515,0.135344703,0.137079892,0.13881508,0.13881508,0.13881508,0.13881508,0.13881508,0.13881508
nl_target_photovoltaics,0.021564528,0.028033887,0.040972604,0.053911321,0.066850037,0.079788754,0.081945207,0.08410166,0.086258113,0.088414566,0.090571018,0.091649245,0.092727471,0.093805698,0.094883924,0.097040377,0.09919683,0.101353283,0.103509735,0.105666188,0.107822641,0.109979094,0.112135547,0.114291999,0.116448452,0.118604905,0.120761358,0.122917811,0.125074264,0.127230716,0.129387169,0.131543622,0.133700075,0.135856528,0.138012981,0.140169433,0.142325886,0.144482339,0.146638792,0.148795245,0.150951697,0.15310815,0.155264603,0.157421056,0.159577509,0.161733962,0.163890414,0.166046867,0.16820332,0.170359773,0.172516226,0.172516226,0.172516226,0.172516226,0.172516226,0.172516226
nl_target_windoff,0.061083602,0.079408683,0.116058844,0.152709006,0.189359167,0.226009328,0.232117689,0.238226049,0.244334409,0.250442769,0.25655113,0.25960531,0.26265949,0.26571367,0.26876785,0.27487621,0.28098457,0.287092931,0.293201291,0.299309651,0.305418011,0.311526372,0.317634732,0.323743092,0.329851452,0.335959812,0.342068173,0.348176533,0.354284893,0.360393253,0.366501614,0.372609974,0.378718334,0.384826694,0.390935054,0.397043415,0.403151775,0.409260135,0.415368495,0.421476856,0.427585216,0.433693576,0.439801936,0.445910297,0.452018657,0.458127017,0.464235377,0.470343737,0.476452098,0.482560458,0.488668818,0.488668818,0.488668818,0.488668818,0.488668818,0.488668818
nl_target_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nl_target_biogas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de_target,0.3,0.31,0.33,0.34,0.35,0.37,0.39,0.41,0.42,0.43,0.44,0.46,0.47,0.48,0.49,0.5,0.52,0.54,0.56,0.58,0.6,0.61,0.62,0.63,0.64,0.65,0.67,0.69,0.71,0.73,0.75,0.76,0.77,0.78,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
de_target_windon,0.121192688,0.125232444,0.133311956,0.137351713,0.141391469,0.149470981,0.157550494,0.165630006,0.169669763,0.173709519,0.177749275,0.185828788,0.189868544,0.1939083,0.197948057,0.201987813,0.210067325,0.218146838,0.22622635,0.234305863,0.242385375,0.246425132,0.250464888,0.254504644,0.2585444,0.262584157,0.270663669,0.278743182,0.286822694,0.294902207,0.302981719,0.307021475,0.311061232,0.315100988,0.319140744,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805,0.3231805
de_target_windoff,0.06891086,0.071207889,0.075801946,0.078098975,0.080396004,0.084990061,0.089584119,0.094178176,0.096475205,0.098772233,0.101069262,0.105663319,0.107960348,0.110257377,0.112554405,0.114851434,0.119445491,0.124039549,0.128633606,0.133227663,0.137821721,0.14011875,0.142415778,0.144712807,0.147009836,0.149306864,0.153900922,0.158494979,0.163089036,0.167683094,0.172277151,0.17457418,0.176871208,0.179168237,0.181465266,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294,0.183762294
de_target_photovoltaics,0.109896452,0.113559667,0.120886097,0.124549312,0.128212527,0.135538957,0.142865387,0.150191818,0.153855033,0.157518248,0.161181463,0.168507893,0.172171108,0.175834323,0.179497538,0.183160753,0.190487183,0.197813613,0.205140044,0.212466474,0.219792904,0.223456119,0.227119334,0.230782549,0.234445764,0.238108979,0.245435409,0.252761839,0.26008827,0.2674147,0.27474113,0.278404345,0.28206756,0.285730775,0.28939399,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205,0.293057205
de_target_biomass,0,0.058497,0.062271,0.064158,0.066045,0.069819,0.073593,0.077367,0.079254,0.081141,0.083028,0.086802,0.088689,0.090576,0.092463,0.09435,0.098124,0.101898,0.105672,0.109446,0.11322,0.115107,0.116994,0.118881,0.120768,0.122655,0.126429,0.130203,0.133977,0.137751,0.141525,0.143412,0.145299,0.147186,0.149073,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096
de_target_biogas,0,0.011005,0.011715,0.01207,0.012425,0.013135,0.013845,0.014555,0.01491,0.015265,0.01562,0.01633,0.016685,0.01704,0.017395,0.01775,0.01846,0.01917,0.01988,0.02059,0.0213,0.021655,0.02201,0.022365,0.02272,0.023075,0.023785,0.024495,0.025205,0.025915,0.026625,0.02698,0.027335,0.02769,0.028045,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284
zero_target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nl_target_windon_node1,0.00791333,0.010287329,0.015035328,0.019783326,0.024531324,0.029279322,0.030070655,0.030861988,0.031653321,0.032444654,0.033235987,0.033631654,0.03402732,0.034422987,0.034818653,0.035609986,0.036401319,0.037192652,0.037983985,0.038775318,0.039566651,0.040357985,0.041149318,0.041940651,0.042731984,0.043523317,0.04431465,0.045105983,0.045897316,0.046688649,0.047479982,0.048271315,0.049062648,0.049853981,0.050645314,0.051436647,0.05222798,0.053019313,0.053810646,0.054601979,0.055393312,0.056184645,0.056975978,0.057767311,0.058558644,0.059349977,0.06014131,0.060932643,0.061723976,0.062515309,0.063306642,0.063306642,0.063306642,0.063306642,0.063306642,0.063306642
nl_target_windon_node2,0.008023881,0.010431045,0.015245373,0.020059702,0.02487403,0.029688358,0.030490746,0.031293134,0.032095522,0.032897911,0.033700299,0.034101493,0.034502687,0.034903881,0.035305075,0.036107463,0.036909851,0.037712239,0.038514627,0.039317015,0.040119403,0.040921791,0.041724179,0.042526567,0.043328955,0.044131343,0.044933731,0.04573612,0.046538508,0.047340896,0.048143284,0.048945672,0.04974806,0.050550448,0.051352836,0.052155224,0.052957612,0.05376,0.054562388,0.055364776,0.056167164,0.056969552,0.05777194,0.058574329,0.059376717,0.060179105,0.060981493,0.061783881,0.062586269,0.063388657,0.064191045,0.064191045,0.064191045,0.064191045,0.064191045,0.064191045
nl_target_windon_node3,0.001414674,0.001839076,0.002687881,0.003536685,0.00438549,0.005234294,0.005375762,0.005517229,0.005658697,0.005800164,0.005941631,0.006012365,0.006083099,0.006153832,0.006224566,0.006366034,0.006507501,0.006648968,0.006790436,0.006931903,0.007073371,0.007214838,0.007356305,0.007497773,0.00763924,0.007780708,0.007922175,0.008063643,0.00820511,0.008346577,0.008488045,0.008629512,0.00877098,0.008912447,0.009053914,0.009195382,0.009336849,0.009478317,0.009619784,0.009761251,0.009902719,0.010044186,0.010185654,0.010327121,0.010468589,0.010610056,0.010751523,0.010892991,0.011034458,0.011175926,0.011317393,0.011317393,0.011317393,0.011317393,0.011317393,0.011317393
nl_target_windoff_node1,0.005801359,0.007541767,0.011022583,0.014503399,0.017984214,0.02146503,0.022045166,0.022625302,0.023205438,0.023785574,0.02436571,0.024655778,0.024945845,0.025235913,0.025525981,0.026106117,0.026686253,0.027266389,0.027846525,0.028426661,0.029006797,0.029586933,0.030167069,0.030747205,0.031327341,0.031907477,0.032487613,0.033067749,0.033647885,0.034228021,0.034808156,0.035388292,0.035968428,0.036548564,0.0371287,0.037708836,0.038288972,0.038869108,0.039449244,0.04002938,0.040609516,0.041189652,0.041769788,0.042349924,0.04293006,0.043510196,0.044090332,0.044670467,0.045250603,0.045830739,0.046410875,0.046410875,0.046410875,0.046410875,0.046410875,0.046410875
nl_target_windoff_node2,0.012641778,0.016434312,0.024019379,0.031604446,0.039189513,0.04677458,0.048038758,0.049302936,0.050567114,0.051831292,0.053095469,0.053727558,0.054359647,0.054991736,0.055623825,0.056888003,0.058152181,0.059416359,0.060680536,0.061944714,0.063208892,0.06447307,0.065737248,0.067001426,0.068265604,0.069529781,0.070793959,0.072058137,0.073322315,0.074586493,0.075850671,0.077114848,0.078379026,0.079643204,0.080907382,0.08217156,0.083435738,0.084699916,0.085964093,0.087228271,0.088492449,0.089756627,0.091020805,0.092284983,0.09354916,0.094813338,0.096077516,0.097341694,0.098605872,0.09987005,0.101134227,0.101134227,0.101134227,0.101134227,0.101134227,0.101134227
nl_target_windoff_node3,0.00312139,0.004057807,0.005930642,0.007803476,0.00967631,0.011549144,0.011861283,0.012173422,0.012485561,0.0127977,0.01310984,0.013265909,0.013421979,0.013578048,0.013734118,0.014046257,0.014358396,0.014670535,0.014982674,0.015294813,0.015606952,0.015919091,0.01623123,0.016543369,0.016855508,0.017167647,0.017479786,0.017791925,0.018104064,0.018416203,0.018728342,0.019040481,0.01935262,0.019664759,0.019976898,0.020289037,0.020601176,0.020913315,0.021225454,0.021537593,0.021849733,0.022161872,0.022474011,0.02278615,0.023098289,0.023410428,0.023722567,0.024034706,0.024346845,0.024658984,0.024971123,0.024971123,0.024971123,0.024971123,0.024971123,0.024971123
nl_target_photovoltaics_node1,0.002697036,0.003506147,0.005124368,0.006742589,0.008360811,0.009979032,0.010248736,0.01051844,0.010788143,0.011057847,0.01132755,0.011462402,0.011597254,0.011732106,0.011866957,0.012136661,0.012406365,0.012676068,0.012945772,0.013215475,0.013485179,0.013754882,0.014024586,0.01429429,0.014563993,0.014833697,0.0151034,0.015373104,0.015642808,0.015912511,0.016182215,0.016451918,0.016721622,0.016991325,0.017261029,0.017530733,0.017800436,0.01807014,0.018339843,0.018609547,0.01887925,0.019148954,0.019418658,0.019688361,0.019958065,0.020227768,0.020497472,0.020767176,0.021036879,0.021306583,0.021576286,0.021576286,0.021576286,0.021576286,0.021576286,0.021576286
nl_target_photovoltaics_node2,0.047272559,0.061454327,0.089817863,0.118181398,0.146544934,0.174908469,0.179635725,0.184362981,0.189090237,0.193817493,0.198544749,0.200908377,0.203272005,0.205635633,0.207999261,0.212726517,0.217453773,0.222181029,0.226908285,0.231635541,0.236362796,0.241090052,0.245817308,0.250544564,0.25527182,0.259999076,0.264726332,0.269453588,0.274180844,0.2789081,0.283635356,0.288362612,0.293089868,0.297817124,0.302544379,0.307271635,0.311998891,0.316726147,0.321453403,0.326180659,0.330907915,0.335635171,0.340362427,0.345089683,0.349816939,0.354544195,0.359271451,0.363998707,0.368725962,0.373453218,0.378180474,0.378180474,0.378180474,0.378180474,0.378180474,0.378180474
nl_target_photovoltaics_node3,0.011114007,0.014448209,0.021116614,0.027785018,0.034453422,0.041121827,0.042233227,0.043344628,0.044456029,0.04556743,0.04667883,0.047234531,0.047790231,0.048345931,0.048901632,0.050013032,0.051124433,0.052235834,0.053347235,0.054458635,0.055570036,0.056681437,0.057792837,0.058904238,0.060015639,0.06112704,0.06223844,0.063349841,0.064461242,0.065572642,0.066684043,0.067795444,0.068906845,0.070018245,0.071129646,0.072241047,0.073352447,0.074463848,0.075575249,0.07668665,0.07779805,0.078909451,0.080020852,0.081132253,0.082243653,0.083355054,0.084466455,0.085577855,0.086689256,0.087800657,0.088912058,0.088912058,0.088912058,0.088912058,0.088912058,0.088912058
de_target_windon_node1,0.070321707,0.072665764,0.077353878,0.079697934,0.082041991,0.086730105,0.091418219,0.096106333,0.09845039,0.100794447,0.103138503,0.107826617,0.110170674,0.112514731,0.114858788,0.117202845,0.121890959,0.126579072,0.131267186,0.1359553,0.140643414,0.142987471,0.145331528,0.147675585,0.150019641,0.152363698,0.157051812,0.161739926,0.16642804,0.171116153,0.175804267,0.178148324,0.180492381,0.182836438,0.185180495,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552,0.187524552
de_target_windon_node2,0.024188615,0.024994902,0.026607477,0.027413764,0.028220051,0.029832625,0.0314452,0.033057774,0.033864061,0.034670348,0.035476636,0.03708921,0.037895497,0.038701784,0.039508071,0.040314359,0.041926933,0.043539507,0.045152082,0.046764656,0.04837723,0.049183517,0.049989805,0.050796092,0.051602379,0.052408666,0.05402124,0.055633815,0.057246389,0.058858963,0.060471538,0.061277825,0.062084112,0.062890399,0.063696686,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974,0.064502974
de_target_windon_node3,0.026682366,0.027571778,0.029350602,0.030240014,0.031129427,0.032908251,0.034687075,0.0364659,0.037355312,0.038244724,0.039134136,0.040912961,0.041802373,0.042691785,0.043581197,0.044470609,0.046249434,0.048028258,0.049807083,0.051585907,0.053364731,0.054254143,0.055143556,0.056032968,0.05692238,0.057811792,0.059590617,0.061369441,0.063148265,0.06492709,0.066705914,0.067595326,0.068484738,0.069374151,0.070263563,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975,0.071152975
de_target_windoff_node1,0.017426837,0.018007732,0.019169521,0.019750415,0.02033131,0.021493099,0.022654888,0.023816677,0.024397572,0.024978466,0.025559361,0.02672115,0.027302045,0.027882939,0.028463834,0.029044728,0.030206518,0.031368307,0.032530096,0.033691885,0.034853674,0.035434569,0.036015463,0.036596358,0.037177252,0.037758147,0.038919936,0.040081725,0.041243514,0.042405304,0.043567093,0.044147987,0.044728882,0.045309776,0.045890671,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566,0.046471566
