,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
demandDE-1,1,1.04170821395652,1.08435164955372,1.11220498189694,1.13165754344992,1.16366405918275,1.20749221380262,1.23472412543396,1.23308924524843,1.25459891214575,1.28476517936802,1.31431924703498,1.34041304564389,1.36532875216478,1.42218999024401,1.47828588327254,1.52183566818491,1.57735076906544,1.63954771828115,1.66122063216118,1.70186017539693,1.74557606897328,1.80962131836847,1.82005126762688,1.88330564124566,1.92578969816991,1.98982625068362,2.05362896380669,2.08887533335879,2.12724106758771,2.12587077197229,2.14496250490128,2.1897744105116,2.25525634326276,2.28792238750958,2.36651903050522,2.44199657694477,2.42656550589266,2.48940559819545,2.5061624108962,2.52905743235315,2.60115274630782,2.69885999422782,2.74156822984266,2.83004839244298,2.86030023474002,2.94484265195464,3.01733271025115,3.05926825786051,3.07682439489718
demandDE-2,1,1.00783849803137,1.04245025337413,1.06161718306976,1.09774529816078,1.1113505783023,1.12475265368921,1.13353582162942,1.14108661756247,1.16145818487256,1.16357977221573,1.21244037657575,1.2429741974135,1.29023499704783,1.30663143187128,1.36582968785178,1.3822913632676,1.42929278567176,1.46585513898706,1.50192795351516,1.56800744316188,1.5689432615106,1.61386800031077,1.66036262500885,1.7101507312304,1.71308697423982,1.72994067933073,1.77053379188083,1.81660330109061,1.87360922558913,1.87732493449589,1.95783350061517,2.00688336630107,2.02918797944854,2.02900995731845,2.05400703976642,2.07662131285779,2.16339700112094,2.23886100085085,2.30874374512872,2.35073981792099,2.43106978954582,2.44605202377432,2.52595281151115,2.57872915122822,2.59592273988495,2.62893334734956,2.7032012402892,2.77268834883094,2.80142866661578
demandDE-3,1,1.00147501520291,1.0057590384716,1.02779025555971,1.05557405357368,1.07146410513345,1.09102478229852,1.12490321192055,1.13789949531902,1.16615785449167,1.19718197371219,1.23191324082681,1.27477024917128,1.28607115006051,1.29008593458849,1.31295520317656,1.31913642829973,1.38003670387527,1.36943712169845,1.36953684901419,1.38741832914953,1.42725450412518,1.47291677738639,1.51869398514674,1.54432557965725,1.55741436417797,1.5974205287711,1.60796446958947,1.64100653972716,1.6627164381508,1.72765789546647,1.73833074572676,1.76508976389448,1.8080311576684,1.87964254381485,1.94011976039589,2.0222258177098,2.03452322434167,2.09340637008731,2.14714135943881,2.14561912658358,2.18711530418615,2.24496960525336,2.27208535470369,2.35113830748425,2.37831502851655,2.42915031971156,2.50926829214069,2.54885514641636,2.59966887696203
demandDE-4,1,1.02807075438071,1.04265982883091,1.03585711328516,1.05480328444028,1.09766234562986,1.09760953262499,1.11976008115212,1.13773792323196,1.17472953303452,1.19989893179944,1.22509294585623,1.22803843484194,1.24780313935041,1.26125038291394,1.27250045667581,1.31103988831105,1.35200001200627,1.38409319749498,1.40920915516686,1.4524853603885,1.47515180834906,1.51304513757318,1.53877344919001,1.56836075182829,1.6232461300467,1.65205085597009,1.69883082203694,1.75523963786042,1.83874998239243,1.87914375818868,1.91985028789752,1.95278151716567,1.97139962090035,2.01860732700802,2.04724837580341,2.07191170389089,2.12876677575354,2.18684364748206,2.25490212239923,2.33889006540385,2.45110374336095,2.49789395448406,2.59833797993062,2.68751180013063,2.76102467695016,2.81758993525129,2.88135175332157,2.88524522056029,2.93789624907525
demandDE-5,1,1.01697433174883,1.02451526769116,1.03962017672111,1.08446230385642,1.11211909013198,1.14164871304288,1.15897136165662,1.17864841453861,1.21071206181946,1.25099129009934,1.29278916803873,1.32146896457322,1.33336902213376,1.3322811460166,1.35193911264504,1.384560575366,1.40641899395366,1.45196055633042,1.47353894827389,1.52655113459303,1.54535586434549,1.55471780493916,1.57275011442253,1.62076382289298,1.64838472429384,1.67208081048336,1.7127594697372,1.75289710200103,1.81596001586071,1.84266825089315,1.87091686566319,1.89640538938793,1.97049419081021,2.02040012451094,2.04439273923352,2.08365701792235,2.11609140629083,2.1625199328321,2.26454156329509,2.30845919824194,2.39945801832941,2.43470873983485,2.49182862644733,2.58447259661351,2.68876710726751,2.78441934118727,2.86476646604806,2.96314364397258,2.99911035205923
demandDE-6,1,1.0273577554435,1.07113805414249,1.08462472116278,1.13332239595705,1.14623668630413,1.17475936454908,1.20951287668464,1.20777957094513,1.20901085416577,1.21340058407363,1.25891087733857,1.28313743037217,1.31434380971414,1.3675033027148,1.40458154873568,1.41705109121631,1.45175964672127,1.48031784722083,1.50520269224533,1.53882860051456,1.57424068213743,1.56207411611997,1.61080086478469,1.63945699882795,1.70129746129017,1.75936083806222,1.80899917487783,1.81986522917754,1.84451613071607,1.88512799474919,1.90785781149872,1.9374258712645,1.93536884771098,1.97584490921642,2.0206903249183,2.07280498034483,2.13544731130572,2.18652641762679,2.17666286432033,2.19898278914222,2.22670111028145,2.26217881959018,2.34184220748309,2.39079473308632,2.46088379811191,2.49964529032342,2.49445494970914,2.52069323629599,2.57109287543568
demandDE-7,1,1.04114788527751,1.06067141168312,1.08535800056118,1.10557686780636,1.10377499961314,1.11643705667565,1.13159720276512,1.12711582845437,1.13929273513717,1.14303445665896,1.14477729117999,1.1402427720954,1.17527761713292,1.19892689066636,1.20989244915481,1.21686347400236,1.2221573997936,1.23719851041429,1.26160994845517,1.27671274803528,1.29141525894924,1.32384296370856,1.36909817536598,1.37952171848523,1.40475494848976,1.4154979262871,1.47146193604666,1.45720822781213,1.45842995363724,1.47630103048813,1.50523276279239,1.52280069027895,1.5583435028272,1.60449637911685,1.63686263053253,1.67814807231329,1.71817317008511,1.72233717596392,1.80426083581598,1.84577672604293,1.90156368141449,1.94503005072689,1.98434469666832,2.01645793243902,2.02133155060261,2.02044327867675,2.0631508329319,2.09045318248644,2.17331770938653
demandDE-8,1,0.997855358042617,1.00541260861329,1.01434087260095,1.02799404023358,1.06361663897845,1.07803931307572,1.09022718392037,1.11286546597571,1.15096493233376,1.1689755434316,1.19868006126784,1.23041113267645,1.27831831265085,1.32010340400996,1.33747114636603,1.3579112928715,1.35594261771121,1.37837375541163,1.39970695720785,1.40499492519223,1.43141098238043,1.44381271355493,1.47103263726048,1.50116306203836,1.52457704266054,1.54881902364885,1.57528344911115,1.61111247447176,1.63030893564984,1.68571381753374,1.75628639387997,1.78420051616208,1.84629244200593,1.88894638316212,1.93918054533754,1.95790810019022,1.99955594176703,2.0356728715483,2.12064503379406,2.15025772739725,2.21013955425274,2.21083323429671,2.29751096808599,2.37831802997394,2.43637824449701,2.48019927412995,2.55026650762212,2.5962434353781,2.63953673533891
demandDE-9,1,1.02980136235567,1.07177137315606,1.08690511146201,1.1011455520213,1.13936143235217,1.16619336302045,1.18613575781316,1.22440460153162,1.25664076238362,1.28635288209946,1.3144777661879,1.34742509614339,1.3565716829912,1.37708653536893,1.40305660478989,1.40517945809437,1.45754869753877,1.46347493163551,1.50972281470365,1.54911704581182,1.56540478182181,1.60570513382796,1.67770379188561,1.74188932978506,1.75521116150841,1.78577491062453,1.81932914626778,1.87157934522783,1.93948095921124,1.95828928643778,1.99786740131922,2.07228910867813,2.11881037191223,2.12331883931048,2.17564745484016,2.20604950858926,2.19817405821085,2.20177832997254,2.20209157359115,2.25033538632504,2.31604544758704,2.39667313443338,2.39597543817146,2.46028939885019,2.55839589908598,2.56895854528029,2.64585939795556,2.67630185569033,2.74092399912944
demandDE-10,1,1.03983828823982,1.06036753796942,1.08168160123964,1.12411922729397,1.12123986996058,1.15824858828003,1.19760581269556,1.20083341052213,1.24118297250766,1.25050943121403,1.24790014503802,1.28690683181711,1.28444037179303,1.28466777332657,1.296517039075,1.32261412589925,1.3503147875602,1.37925104243403,1.39822194919495,1.42587908684444,1.4851138169708,1.51380192190778,1.52304616524634,1.56657673670076,1.63336529302164,1.66500349629697,1.68000710664042,1.71298118251695,1.74944647812992,1.79047081922277,1.79837772652762,1.84549276357981,1.854387224478,1.87395087741289,1.93246691294191,2.00195202521232,2.05541790429564,2.07689766764884,2.14596518054847,2.2134367181202,2.22387305646259,2.2271872811444,2.24248167606799,2.29256064157276,2.31156371373806,2.34951235274349,2.39521542158005,2.38830405799785,2.46890095987057
demandDE-11,1,1.02249864957563,1.06096034808272,1.07331528593157,1.09881176362618,1.12452842821351,1.15897979015805,1.178001852511,1.18428513426609,1.20334931639884,1.20764393444815,1.23866869233857,1.25871403935287,1.28060289487873,1.28469270521211,1.30835072403604,1.34221076271772,1.34972964746139,1.38484927203951,1.40901121141102,1.46078886885357,1.48271367574404,1.5167711218403,1.53674499375767,1.56812811360838,1.58275449928004,1.61008735194493,1.63759244565969,1.67123083748819,1.73295582000504,1.7344696689518,1.76489744157072,1.76718711979446,1.81764810787765,1.86007713132613,1.86107904369037,1.88008263870682,1.9260995270145,1.92532263338933,1.96060214922586,1.95320259400538,1.97935123837436,2.04377109253911,2.0789078197609,2.14372929397254,2.18967028078228,2.23736492500429,2.26430881650947,2.25610151235293,2.30850958121908
demandDE-12,1,1.02294597724942,1.03473076445329,1.03466794207415,1.06436418468448,1.08064463337839,1.09606641677055,1.13411501045643,1.15252461437977,1.16421224906704,1.20759804784835,1.24595609929309,1.25936096585925,1.29178591953745,1.32573539255214,1.33334222435803,1.37167641266382,1.37187963239905,1.39375106590479,1.44226894415499,1.47986221595598,1.49856194687369,1.49806689335731,1.51586595900236,1.53964880156597,1.57090044151878,1.58754115301115,1.61253935604896,1.66687095330517,1.65992721159414,1.73477738140123,1.77511354392312,1.81935504391519,1.86377536880343,1.8861947718001,1.94329167674251,1.9838248655199,1.99004560360146,2.03463120002522,2.06062930231009,2.07158930109049,2.10552120834177,2.11597528555409,2.14199484388902,2.16837080658993,2.26577008863686,2.3475303398447,2.40576256780968,2.41326117038379,2.48896221615029
demandDE-13,1,1.01804462010134,1.01644362255956,1.02254959265995,1.0408248412871,1.07394879797915,1.10749389949154,1.11611587239983,1.1401610985771,1.19459842126674,1.19123218630843,1.2143042489741,1.24561707517275,1.30528278194979,1.35706475642502,1.40999232945006,1.43737176103789,1.48541446094531,1.55078581866072,1.60168413681891,1.6501683608995,1.7108905725479,1.71695985215024,1.71330648147951,1.7353211201888,1.74832814184441,1.75922195128048,1.75489499601392,1.80573132445862,1.88429929599143,1.96357484165047,1.98516226088701,1.99085420294405,2.01571598597462,2.06130974012236,2.1113437245554,2.1298698140803,2.18038293856114,2.24145690125345,2.34122415134082,2.34645948306023,2.44549735544138,2.55880245492835,2.60915452855188,2.65690593087867,2.76117126574694,2.8507292031172,2.93444656355396,2.95824857174638,2.98459714092663
demandDE-14,1,1.04050745092745,1.05922321696014,1.08113170013791,1.11096962751442,1.13483965810378,1.17070365862065,1.20591764009166,1.21874192769311,1.23245754580436,1.24949448548253,1.28392743088075,1.30913449777468,1.31853072252459,1.34928955929106,1.34516305907969,1.35364901775646,1.35883985244801,1.38733007246452,1.38805787155317,1.40522640888349,1.46364774251265,1.51700704324219,1.54776677913983,1.59107199541242,1.66219696965586,1.6838508972832,1.67130947472207,1.71552296714354,1.77388659322178,1.80493094744927,1.81105722564085,1.84409943661269,1.92459615159342,1.95059111213765,1.98035908800562,2.00400105076034,2.03076892290495,2.09654801808571,2.11128893350547,2.11258412141011,2.19182785956675,2.24758085113732,2.31163419851455,2.37174154877029,2.44543666103908,2.46691738480399,2.52709139522632,2.56808499065607,2.60979927557868
demandDE-15,1,1.01271892464106,1.03382282192737,1.05629819032018,1.07842440874948,1.09836189414151,1.1195252166147,1.12172019799675,1.14362317231255,1.15683133643562,1.16379618602868,1.19898236166787,1.25068759052269,1.28398256108414,1.27531178389578,1.30521866562709,1.3392612026147,1.36451987446262,1.37505323717315,1.39056487533353,1.38976031973358,1.44067343852258,1.46992527359666,1.51116245680026,1.54355172285396,1.55525802627409,1.57999351332934,1.60462485995774,1.6559871771772,1.70809460679629,1.72567089884602,1.75654363395987,1.81977214967625,1.87038261432094,1.87385232007102,1.88341137358661,1.94483190991684,1.99608908890188,2.00354273392825,2.01147690813264,2.02538177304522,2.08777291240369,2.09894315948758,2.17393420793878,2.2341706320352,2.25310841869148,2.28800326056444,2.3430418087949,2.41389609111775,2.51745795208332
