,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
biomassPrice-1,4.5,4.65940805086431,4.66231467865661,4.76891343708305,4.94509265576363,4.95559207815193,5.06823209601303,5.11581207585697,5.20107256843669,5.19475136318023,5.23528470259318,5.29499461312403,5.35516108179951,5.58101516351759,5.62456999598584,5.61787441839282,5.61943484420366,5.60565029604632,5.5861633658404,5.53825668789697,5.73916143677483,5.69882512804427,5.91391833839205,6.07542268762166,6.09592054256006,6.16822806613795,6.08461658195786,6.13282673968331,6.21292747242176,6.25048213932023,6.32936688080593,6.20062338658412,6.22141704424212,6.21020148744147,6.34967244303674,6.45995417656917,6.35019608257638,6.43170253071756,6.57748327565724,6.63087446461125,6.85752629585829,6.8109494250859,7.10252588091736,7.03398783955768,6.98069619015603,7.08578135850578,7.26343250918658,7.3260114258538,7.57188995557504,7.65830006421362
biomassPrice-2,4.5,4.58835526764125,4.65504639110581,4.66699260615885,4.57686006126552,4.71433191764659,4.88017862125232,4.9158185301826,4.80340574692999,4.93233740511238,4.88138547144588,4.97812395041995,5.09222384992114,5.18148282094138,5.22295150629836,5.15147969951911,5.16302246428978,5.14618517662412,5.30257707091869,5.32698577569409,5.50561714492681,5.61560709558727,5.72061935293189,5.88514726048449,6.00146109806763,6.22321130595091,6.2444832665416,6.40546562550031,6.61484860681376,6.62668704799709,6.61861547491937,6.58601808016709,6.71760684511336,6.78816518746137,6.86098326881768,7.12665505614585,7.27295059084871,7.30083154562205,7.32843014890967,7.34117338466276,7.45265781318967,7.71385702327156,7.77912785763412,7.78566100834251,7.64634487205243,7.65824867137994,7.70854076900028,7.92210792025073,8.14523458697614,8.4112412747152
biomassPrice-3,4.5,4.62435450333752,4.59803646391538,4.80234519945573,4.92509723727539,5.07329029564754,5.00457579470115,5.02949590368491,5.00136356176815,5.18739643255155,5.28989588928858,5.27703361917847,5.32224467199392,5.40443300328651,5.41507869681682,5.49780066174625,5.44869065241317,5.53293721371989,5.74661991243238,5.72026935094749,5.8631470177376,6.00255804414391,5.98160556579855,5.98898051507061,6.08580384147574,6.32532466411347,6.31219466090349,6.34415202543572,6.41522955299757,6.337110764074,6.25214028416304,6.11815739018427,6.17389855230862,6.23592119797196,6.30884429220062,6.28487639663132,6.40671968328056,6.68790447067299,6.77593901583661,7.01877976085772,7.09669288256498,7.26391520491128,7.2071564419178,7.174093193755,7.3965405165202,7.70085333910323,7.8430703946739,7.96507270446388,7.96695385345325,8.06759326135353
biomassPrice-4,4.5,4.38609907297683,4.44212551416281,4.40887229782099,4.46258239843045,4.56918248733214,4.66712066676789,4.74335659140742,4.68698276392124,4.8577954636718,5.01091364563174,5.03254812957969,5.06943262935571,5.31058099210943,5.43977782158528,5.40529974669221,5.35374034553588,5.26671464686006,5.30212587077791,5.36483741833262,5.58395875374623,5.70075427800146,5.65639968510997,5.62809689005399,5.732712052166,5.63858555773037,5.57832483843603,5.56103937281129,5.57728553884956,5.63122564242105,5.68114576364042,5.90198934104089,5.79967031623586,5.94422711528622,5.97402394967089,6.03186510559447,6.27095681107454,6.46325849498987,6.52827281218856,6.73209358915246,6.66646687791986,6.83885161331504,6.90776448558812,6.92630810669142,7.04321406021921,7.25661229801114,7.54230656508107,7.83296369903441,7.65696762610396,7.6811550711267
biomassPrice-5,4.5,4.4883424268665,4.59488154962627,4.70636385929095,4.63907161017296,4.58868381284422,4.54350261478722,4.4516426788682,4.50537402326607,4.63350255594436,4.78102678170206,4.89608430747731,4.98563441210583,4.99301604895461,5.11158862979198,5.1919972177718,5.34088981148084,5.38893028726838,5.42899998826197,5.33388680414873,5.45605304962259,5.52045822280981,5.70490552070248,5.72404440418621,5.86570023245838,6.05130139184231,6.02121294977043,6.17640616222998,6.30211686276686,6.18855846132908,6.33440947215903,6.37507298101777,6.50777762686899,6.52273958865479,6.59603149435535,6.54950976570578,6.58013748838577,6.70125401651827,6.81454601415142,6.73684686050052,6.77417491863738,6.8049737161219,7.08233544214991,7.08445413695509,7.21040429780761,7.31704844060786,7.34144512751279,7.21696455120878,7.31770813868351,7.46720965115084
biomassPrice-6,4.5,4.64326152272402,4.65950575924691,4.6774393150191,4.59782233681279,4.74678181458176,4.6703348632736,4.67314240112767,4.76094390950223,4.84532961091843,4.79130143512646,4.94146692667698,4.88405066111067,4.93871379761971,5.04550427461477,4.97928809696336,5.08687438155467,5.06937849856225,5.18094750175304,5.23910237228204,5.24299075092469,5.3212759786978,5.40720211258269,5.41732529904481,5.33015474552876,5.37509454973485,5.27892192339636,5.41670193848693,5.52235519404928,5.58554648400694,5.69638150877827,5.86881592665178,6.05408634120133,5.9991326597146,6.15730249332081,6.2527642836537,6.23233207634272,6.3956970840871,6.53981876583544,6.68523155381032,6.6122557729626,6.63717742836772,6.77054629247553,6.86126886607907,6.7743897648702,6.81709951119094,6.72403019099818,6.9132010896799,7.01047289732817,7.14967526612151
biomassPrice-7,4.5,4.47797409729302,4.49974976058866,4.58928049512328,4.56813495838369,4.59114521435073,4.69022653122295,4.76161807989754,4.75881820767864,4.78142329605488,4.82477155572743,4.96083759681274,5.1393534019944,5.18175294128906,5.16940329558749,5.23704363705346,5.13443713426255,5.20457894404198,5.18721154590537,5.36088104812681,5.35239599715379,5.33888421201965,5.38075187237153,5.47685868423559,5.53149420919082,5.50270764252771,5.48146968082136,5.54881070538676,5.54753735451869,5.67708456967057,5.73450562275367,5.63664235577044,5.70370075220359,5.70675945407265,5.80421993469625,5.82374984026879,5.93072915576995,6.13333153517072,6.29960476436489,6.32828330148663,6.42754401684433,6.49737629331376,6.5809495372402,6.67364929210046,6.63218115223261,6.7623414747286,6.78928223935853,6.91438895694886,7.04613349811969,7.18190340357175
biomassPrice-8,4.5,4.58771464307558,4.67173696295438,4.64030301723859,4.78827905356134,4.88124235289897,4.85518631700411,4.90381780950005,4.99674601598311,4.9748760374298,5.07676130141841,5.01791527002236,5.02945380110081,4.98414974617563,4.99332322724366,4.901686478205,4.9944125562066,4.88150077214328,4.79664232384229,4.79407495818585,4.96668120092467,4.93222603177487,4.86291439351865,4.89913813394942,5.12005267608631,5.24659825115927,5.34278603261279,5.44426465753648,5.45856633273625,5.46384073044319,5.65654386463107,5.69444060480868,5.69154848978604,5.70453330113615,5.75777447519487,5.83194626454637,5.90752421416907,5.87148254362307,5.83422024294296,5.84884310142101,5.83611974248779,5.97997272006541,5.99923583752659,6.06498865746402,6.23693830988318,6.33332028660857,6.39194303562798,6.34736408636903,6.23685476577394,6.12177839098081
biomassPrice-9,4.5,4.50608032064235,4.49841342986838,4.5024338842041,4.54529663961471,4.62936043030316,4.63302518187478,4.59288805645746,4.64172417484523,4.73774257854194,4.74459779019746,4.73791295644915,4.62965162860896,4.66115429906969,4.68113373631106,4.65811342682807,4.76273854362233,4.88931168816873,4.97886034663017,5.03930516967002,4.99138124406661,5.00915989521978,5.01976106161067,5.1811175131006,5.26622366604104,5.25993397563267,5.27954255852787,5.50219855311599,5.37135853521863,5.44332626297994,5.60752635569408,5.48855345090045,5.56848862912085,5.64750549744078,5.73182633311158,5.81824937550838,5.89602855954973,5.90792758074461,6.18351668684275,6.34485601429915,6.28837617611532,6.38947461668168,6.34868185738207,6.33608616535627,6.18646289537016,6.35987208242982,6.45977674045509,6.63259553767203,6.7895369500852,6.79760988530533
biomassPrice-10,4.5,4.41004541270029,4.37922958808927,4.41876224123011,4.48202477076101,4.69360738011766,4.86193233461891,4.86509958642537,4.88491828715714,5.04218711681475,5.15135607810357,5.29377605180464,5.47115059903479,5.59530406982082,5.73436842750044,5.75746085869758,5.76055951557887,5.84634828156686,6.01737738990681,6.29417174391181,6.4114582677948,6.42299586670602,6.36705481026168,6.4490525506819,6.67249171860338,6.5429189773931,6.83931136459266,6.91553654011062,6.96877813045589,7.23111348723901,7.56906873576645,7.61212179583558,7.51710476556022,7.68442686498403,7.68708081185686,7.70476179701925,7.94293633290769,8.08244085585457,8.11718769422595,8.20053206415296,8.5640636943148,8.4721096360447,8.51472018199616,8.7028468713646,9.02906367361431,9.06254495706214,9.05325422280689,9.33444605065083,9.24712516396623,9.22614213184827
