,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
coalPrice-1,3.6,3.53803441882055,3.54746102477464,3.58070114415213,3.57922495727211,3.62449674839546,3.63099687861779,3.74393767774934,3.78103038017254,3.80548647374911,3.90165951841837,4.00048268035399,4.02610795378399,4.0712753625922,4.13459807985241,4.20466599606725,4.19104774239824,4.09347151086166,4.25538665949145,4.18027504359082,4.22555200106948,4.31034229018982,4.21868096692203,4.21591891137622,4.33355517526037,4.46343027588972,4.49102647300669,4.45875763774954,4.52332551441976,4.56219407806734,4.48844697296263,4.42824156802632,4.60484100253098,4.62009307735547,4.70289059210581,4.81427949315977,5.01315407512142,5.12345088883165,5.10123586783607,5.21545232622898,5.29996918325044,5.39771251557105,5.47087186214676,5.4757422104591,5.3710401797451,5.54963574539773,5.69726560659141,5.81547986329429,5.66660235072038,5.86655413918131
coalPrice-2,3.6,3.52728830265344,3.62930054206927,3.71327461206126,3.70279020971793,3.75737105379073,3.72325241416643,3.81668734896278,3.7065085231673,3.8535330757451,3.92099607390112,3.86013982430765,3.97859940913682,3.96684431558611,4.0332095058017,4.12990156122632,4.23660864135737,4.19035286111071,4.37332360151578,4.27992203857527,4.26704015934062,4.34414282674232,4.36537236430018,4.48316928237456,4.45261605109256,4.48457780652077,4.55407987952505,4.65788023607802,4.70249797405543,4.67268696859064,4.82893488629753,4.8705169545364,4.93364676238091,5.06315427383938,5.04647335384087,5.10688845648687,5.1690938288676,5.21522834275086,5.27385186957711,5.3403451070877,5.50809779743308,5.42130913564002,5.48217594752408,5.66706865802201,5.8531077788621,5.98637978003785,5.94749883861887,5.99216880970269,6.0810135165072,6.1986102428832
coalPrice-3,3.6,3.60795134482992,3.63163932949034,3.68196851683831,3.75352397533847,3.83055188526999,3.85631605147277,3.84995551429913,3.87020842353629,3.91273042504841,3.90022162275517,3.89040586999843,3.87812647108712,3.96919966346813,4.07147939269395,4.11232138974741,4.08200201826659,4.02688139873662,4.10299714005226,4.14905220378272,4.17067707468241,4.24651148943206,4.22394333629722,4.38115671221808,4.37456986843098,4.3796323311867,4.31849547960941,4.44093608649187,4.5463674920003,4.55123668819355,4.64995430715449,4.64516124426555,4.69398452011082,4.72534413952458,4.80892963009206,4.73145720378118,4.87537624344923,4.87507353570138,4.88508039376305,5.0107689524904,5.05285253823662,5.1221787571754,5.21498569212193,5.31214185566504,5.34154497990889,5.27961392013823,5.4298020483469,5.61889919329419,5.79006646534505,5.99155230140549
coalPrice-4,3.6,3.65062662291923,3.61877923603516,3.68622390710443,3.63766477285227,3.6423811176003,3.77327758701319,3.79379832225702,3.81376556786888,3.81802380611085,3.80075685952593,3.91088497259134,3.96144599794924,3.95793752190769,4.08537173488013,4.16819574749745,4.12203374792985,4.23332642022004,4.32362589112659,4.22314970291147,4.31715024086763,4.42427017796948,4.56822555691982,4.52258334112745,4.48722586033295,4.5133960687826,4.50132613521408,4.59085193522135,4.59766697243896,4.47767394223611,4.50779329205167,4.57475583831219,4.64585780761825,4.74704812648033,4.72227036558208,4.73301518992769,4.78158995883261,4.81080095553464,4.865973396156,5.0421147519845,5.09489237425746,5.04720239193265,5.22377552148831,5.42359722238689,5.51853586952591,5.48467545294729,5.71286303620329,5.88700227103732,5.82212604361476,5.88972028066261
coalPrice-5,3.6,3.57960075574208,3.58857558250405,3.72488189558741,3.72925433996324,3.77094627685347,3.90508173561404,3.93585787845668,4.03710700568055,4.14913243275663,4.2418810493998,4.25903153861745,4.34099256528288,4.37297168301412,4.41274959161743,4.37942879151247,4.44341460006109,4.40316584719329,4.46482399229138,4.51046763274498,4.51986134019079,4.39853916734243,4.49364290477242,4.55594209878462,4.50921879826808,4.5720288875969,4.70641799391576,4.7383347056127,4.78656377489973,4.81251286046821,4.92359370484259,5.02160807668024,4.97045907095465,5.1819433111664,5.27572968983602,5.30888461011109,5.32442905912541,5.37312128583604,5.42258534591374,5.5091994466833,5.42146364161714,5.36592516686824,5.433888713404,5.4448922382897,5.52549500206112,5.59561232537393,5.70038851167304,5.87885173614353,5.85393516722698,6.07963653564587
coalPrice-6,3.6,3.61449007564116,3.67327474486937,3.75674214072016,3.89311339963713,3.93500708974556,3.9313764774,3.95455134415555,3.91030415730449,3.82132143673787,3.83539297027156,3.94326457483065,3.9293828138244,4.07929474856846,4.04109635645523,3.98553053217194,4.05211273533163,4.22615941742232,4.26929931946158,4.32401057716252,4.3098236989304,4.45316961917136,4.45637167228701,4.5076239233372,4.60794078556884,4.76099695904748,4.78846538086325,4.8095473387002,4.8889275100457,4.88788528841493,4.93272605813453,4.91663753343845,5.00031500300928,5.10256680610058,5.06571962780464,5.09495939258329,5.12040487676902,5.18485262915415,5.12294448968971,5.16479083044859,5.25407954080064,5.4070658510029,5.52099897216542,5.62649750506859,5.52544093577147,5.40627539583967,5.46417058183639,5.61334898341487,5.62945100936908,5.70496861641255
coalPrice-7,3.6,3.58915960110713,3.56894920259318,3.54650335878169,3.69145151671324,3.72252402731033,3.83109427479702,3.93349686128807,3.98078818869016,4.04923249254633,4.02572151929116,4.10285005583171,4.12071998673103,4.18376266816376,4.25979099357718,4.29421136064355,4.29006406353323,4.30938109378097,4.41012766817707,4.5147651935726,4.62632164791181,4.53837242483262,4.59514572852144,4.60108443902416,4.62771068672078,4.76234182858878,4.67940092084671,4.68510368694777,4.79000872188116,4.85996410020026,4.77006546461834,4.96172951659832,4.99000510561055,4.95110958032727,4.89069164851096,4.84150925517186,4.98651851711918,5.08770666758882,5.15926610079516,5.22818586304812,5.26872148612428,5.30820184407356,5.32536791366411,5.42564705139524,5.36853710244687,5.35418586552558,5.54063571519377,5.46250287800796,5.55939237224484,5.52058080694466
coalPrice-8,3.6,3.52407248717914,3.47817810443048,3.50789873242239,3.61040764971838,3.58036880791249,3.48624356909527,3.60828162791762,3.52879027681232,3.59126150535297,3.65560744823314,3.70259266996354,3.82142570046844,3.85020422032623,3.86124627779978,3.80645594877212,3.9088267153602,3.93161408618746,3.9065739777967,3.89013473420584,3.92714583481504,4.03388056345187,4.0283798609697,4.10101556823617,4.14320808024643,4.21620356418544,4.25116754926775,4.14024268071333,4.23495326740726,4.26639388397204,4.30017472630682,4.31844480841691,4.31022259273468,4.32882201289061,4.29322060308301,4.23279387430226,4.22168345707515,4.21995971890656,4.33928390426431,4.42255339344124,4.42829588351945,4.56644168784364,4.53344304315923,4.68984484150439,4.77243678221942,4.78172468104299,4.91163613559698,5.02811710846289,5.11868487415874,5.09070999094203
coalPrice-9,3.6,3.67805197429913,3.81541901681483,3.8027125835316,3.85473104323364,3.8811497117035,3.82468288075533,3.91422438392966,3.87693901023144,3.92058476823683,3.91034622659338,4.09394706340488,4.23736076395236,4.22440431574103,4.30047157412467,4.48726665512117,4.58915306558497,4.56957920256843,4.56499315202446,4.54091531379502,4.45978417856408,4.55538473963078,4.56299036800917,4.55218473853786,4.71184620645151,4.69903250443058,4.68158956220871,4.79501790953859,4.86191409468395,4.84965943547726,4.84041600515857,4.94411685919962,4.99875376075927,4.91115845474741,5.08508571713848,5.10662284853546,5.19131829934556,5.32158409859148,5.35976251043434,5.50313476404454,5.69575308937354,5.83618306780765,5.92813131116501,6.14330480436429,6.16769244197888,6.26605303178578,6.35857083264309,6.3182971223186,6.28941196472418,6.2512126642971
coalPrice-10,3.6,3.65607909580169,3.82488518567915,3.88139267353911,3.88751364746805,3.90605688647565,3.85247184100385,3.87537809676589,3.92254517317876,3.91431990277795,3.82166235816714,3.87132599590027,3.82375754995237,3.87379971786758,3.93865587327555,3.96153072301105,3.9540447052283,3.98105332699617,3.94124103302036,3.95130908930441,3.93775632531168,3.97565270865434,4.01479880743638,4.12765582308966,4.25904942523133,4.21999566269251,4.22346231762404,4.20620277812601,4.29609005525876,4.37944942506747,4.41753841652325,4.52062739787024,4.52216661842485,4.56397809713967,4.56142686162725,4.54234651795124,4.58487186486177,4.52414433979849,4.48647780989915,4.48176390934647,4.58884463029773,4.63401387869367,4.62280780935667,4.65672315519817,4.75517034020036,4.83910490272678,4.86437004985309,4.87220444236997,4.98241411052087,4.9928757316944
coalPrice-11,3.6,3.66078774576797,3.71576465982276,3.83983132502863,3.84031444713164,3.88695275457935,3.90032151367491,3.97599266160174,3.9720514090311,4.03231270255313,4.18635369878152,4.2306449554658,4.28247511850976,4.28881686570001,4.41345828107538,4.44825057937631,4.56398957541572,4.62053590973949,4.68847627138738,4.60825942769187,4.55870618026027,4.5599677609774,4.60264008473386,4.65455282445549,4.55789573028459,4.70048719264661,4.82238468970948,4.86638186557537,5.02911756770325,5.11580399137792,5.22863500164384,5.23101846978136,5.14585790117482,5.26623346264984,5.2210730028679,5.21858929924115,5.30549317263452,5.29349134590131,5.4857507175427,5.51077885569945,5.41280515684469,5.42644937554126,5.46081640657249,5.45742104680972,5.55594346458362,5.58422010063672,5.5195004592632,5.66372527569854,5.65730790448601,5.79877966912213
coalPrice-12,3.6,3.64975596955089,3.65881099864068,3.70885046106501,3.81429336003744,3.78355938935304,3.92447632317179,4.02436827217585,3.98637716437806,3.91066193966793,4.01672145267647,4.02579065104877,4.14476346059898,4.24452321114622,4.35376831480293,4.25072362716482,4.16251124208952,4.286789488317,4.3579275538948,4.39759350318724,4.49783502703446,4.5770521538893,4.60912259168635,4.59308026407503,4.62791880353632,4.78574291124842,4.93117774841777,4.88139784465612,4.80526976140891,4.81339975765258,4.79908412878926,4.82616524424927,4.87333589889458,4.98238204633977,5.08403233282875,5.08204631649544,5.06293506921582,5.15881518572825,5.2209298112294,5.22318419992838,5.29468520633923,5.39467658878729,5.595884726043,5.72967014470384,5.79907984717447,6.02355625711356,6.23707306468171,6.42310944921681,6.64703489924096,6.80576002884852
coalPrice-13,3.6,3.61508176977135,3.70293402494737,3.76924079897256,3.84032587129431,3.7400441460825,3.74723114922458,3.74453560193394,3.84383686427811,3.97107691158745,3.95669139642419,3.87814245337297,3.93609333400156,3.95276365962472,3.99849548074333,3.99259783107545,4.00822065241217,4.07952453992442,4.13016885979791,4.29209211103936,4.2877894591274,4.28399171087308,4.45542784222237,4.45393162538554,4.53336776259494,4.47358250697001,4.68841174719439,4.77729948240182,5.00988525266071,5.11927558999233,5.36742878478128,5.37424758315253,5.35171571000379,5.3605907531644,5.29016704179578,5.2844412687428,5.27324135783407,5.346789361578,5.49528633837928,5.61652653594932,5.69293747048985,5.86312622468914,5.94216443113521,6.03074709202002,6.18445770648497,6.46943043532169,6.47910877656753,6.63179044489554,6.58443995845518,6.46005309953023
coalPrice-14,3.6,3.72310270086985,3.73344190302153,3.80717869957963,3.86434995854187,3.97526125457834,4.02137946482198,4.01686580342008,3.95590614080149,4.01066763139912,4.09254276591041,4.02548806829403,4.04654389005443,4.11479966636758,4.14936091992646,4.24864952707209,4.17984429981174,4.22138931202099,4.14634411238178,4.23744270208853,4.25001549445789,4.28850754578788,4.19754060413888,4.39141225777115,4.34854974635799,4.42492443811735,4.46106853788908,4.58111617119298,4.64159301135709,4.62863481544714,4.65131349037894,4.81148741415991,4.83478360813485,4.900409779802,4.93942590533994,4.98064229640038,5.05288201260498,5.10066472266392,5.13978361521395,5.18476641295333,5.3204248816045,5.3615651559634,5.31560355087052,5.32779999826645,5.42699710212242,5.44187147163484,5.5120794249842,5.70486133966906,5.81224339617325,5.86725934133346
coalPrice-15,3.6,3.76917353377724,3.8248453380762,3.83350620476692,3.87484835781655,3.99772145250283,4.07919305520854,4.03429595225319,4.03911434940741,4.07632261291986,3.99751426922548,4.17653285236297,4.22955005219721,4.23876727802595,4.35122933095644,4.35215469363385,4.39481633794493,4.52069639345147,4.6458459332775,4.82420542195325,4.88393828964093,4.80168879719139,4.79270717681676,4.92913787027751,4.92902435644061,4.89624472096729,4.87094737129823,4.92364864646286,4.93785100878898,5.107653567861,5.23241803070027,5.3460957197814,5.4394870802567,5.53917941336108,5.45058580685054,5.50812321781866,5.55200077302606,5.39920651877046,5.42059324106805,5.40857535920779,5.48989931933379,5.47852818538903,5.61992651230888,5.72471872068691,5.87176361458715,6.05385773169441,6.1619401512742,6.19060190588366,6.13459103165787,6.27861413603148
coalPrice-16,3.6,3.65772308644108,3.66631036171837,3.77413601140867,3.85100594181297,3.9300129201369,3.8909984098562,3.93932786465946,3.98153387746759,4.02467772708933,4.04000152960412,3.96303317257184,4.00970306744881,3.95759869426348,4.03372578530381,4.15682613657557,4.09719833532416,4.25978243894585,4.30965594964925,4.34009989836957,4.33467485520891,4.39248758639162,4.34239950720908,4.35192296783303,4.4851033231737,4.49545169021094,4.69895763809123,4.69382312711731,4.57940802769486,4.69173612780975,4.70009221763723,4.75000878242158,4.72196992262729,4.6570676397364,4.57274294386953,4.74927118240416,4.77117728592213,4.89012742400611,5.03939685162366,5.10125379033445,5.11647471958097,5.20828040265799,5.30979521092412,5.21104219151835,5.2305396532784,5.32977735189233,5.54198802548415,5.54850373082376,5.50016694632764,5.50387233196167
coalPrice-17,3.6,3.7581116960927,3.71466949658273,3.76160956197141,3.84040963311802,3.76290948061793,3.77762136210317,3.79462358106557,3.87775394502245,3.77943121569811,3.75736251673356,3.76057037816086,3.81280147736271,3.78736026293157,3.81882431042536,3.92611666066857,3.94574214849793,4.04335729658782,4.15047045718526,4.21665860649428,4.32090560965281,4.32733541372921,4.2692989447795,4.42211494269681,4.45535437431845,4.55009383675913,4.62752256947782,4.66513855917669,4.565440405175,4.58046173063101,4.62285513792435,4.69614614012396,4.81680786851036,4.84913144153195,4.73468871812256,4.83324765219074,4.81468330154492,4.82588040831124,4.8740141326832,4.92011271248144,4.94100763131041,4.94753965640938,4.8562365687463,4.99492021803113,5.01091679738498,5.19845128857178,5.26814197840879,5.34221403938886,5.20513937558606,5.13381271539083
coalPrice-18,3.6,3.6540554232941,3.67859469492211,3.7661713328912,3.8478066950044,3.85526641556984,3.81894821079421,3.83634015594692,3.90719051690913,3.92928637433614,3.89577237480048,3.90980472260484,4.03796388439995,4.09523071981875,4.14397691121005,4.11206303409552,4.26649429652797,4.1633688915422,4.32936889838741,4.36370243063185,4.4263593896135,4.55383024804067,4.59672468529887,4.74425792268918,4.75773928614675,4.74381141251717,4.80762634799466,4.85486311828133,4.88136840562459,4.94622748890512,4.95231741710999,5.11400905536386,5.08586251024025,5.18280333779793,5.28452948901712,5.30401691734062,5.48662492558696,5.66712506985723,5.64955538481894,5.5933743811788,5.70577795167461,5.66530462419141,5.90596638716946,5.86542734546436,5.9413774672919,5.97175679565661,6.1443392952972,6.4264798447891,6.31157963664092,6.35436799014071
