,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
gasPrice-1,9.02,9.02079951624952,9.0069010196555,9.22026364037373,9.16548766085072,9.21356303593416,9.40684779986826,9.3310034604532,9.31362810455932,9.30687342869891,9.6065743976933,9.78998311378567,10.042833897123,10.1216334019659,10.3305723022408,10.3251335354425,10.6062129727835,10.8149103132913,11.2874743841281,11.5715410061822,11.7690811799433,12.1086608969061,12.4103564575223,12.4733998858061,12.8319108146669,13.1165933941932,13.6919731104654,14.0586559929344,14.5936222769616,14.5685601188297,14.5695662625774,14.6384036664978,15.0812865341942,15.6221706396251,15.5707410481572,15.1851138099702,15.3804573062523,15.6667804387408,15.7961563379867,15.7861350461599,16.0936068928841,15.8242828830709,16.1975933009234,16.9403447783264,16.796096365439,17.0626042683139,17.2650766450178,17.2081058060072,17.1420900450487,17.6191235220315
gasPrice-2,9.02,9.12487894205378,9.1231454520571,9.00993650413194,8.9651530280995,9.1536635961841,9.14735515383329,9.25862259292613,9.24679817786123,9.06196093323486,9.2960850678614,9.60842981864745,9.80581870654166,10.0393167079115,10.0015575687907,10.057638042059,9.88055073949556,9.97048964304039,10.0293764942627,9.820144943474,10.0152645783814,10.0666354524132,10.1179131634633,10.1821430308461,10.158119233375,10.1913616752278,10.1755319476548,10.3654682841312,10.1040552078608,9.90402015804464,10.2733328873463,10.5833043087366,10.4998075933358,10.5764667553032,10.4597671598426,10.6290551784822,10.5862988447601,10.8123086191296,11.2500668686099,11.2319739308498,11.4970274189524,11.7057305090858,11.9404831486969,11.8751954383435,12.0528429869585,11.9036208739716,11.8890823661256,12.137248339982,12.2178398105325,12.6449217651083
gasPrice-3,9.02,9.13701744246186,9.28677375822602,9.18050309464102,9.08314891788277,9.12555311136358,9.28610311400818,9.55923592817359,9.38971651016304,9.60893327742881,9.84670374656333,10.1659153975663,10.3031603862384,10.2009983585428,10.3477814038008,10.306451133248,10.3792945700465,10.2666860188316,10.0199126522737,10.1552827255373,10.0704888415701,10.1196872312122,10.3796893488435,10.2349574479534,10.2198287406273,10.3841033671566,10.7991658701259,10.9982120099919,11.4102620221124,11.6291627496625,11.8716987532053,11.8577866295474,11.953678264094,11.9859429034905,12.0293925609783,12.0391560254432,12.2191246706446,12.124673155572,11.9579299456089,11.9039796496867,11.9873205107449,12.3425355230054,12.7243255180176,12.8765528874288,13.4245215999965,13.3366301437448,13.773530694357,14.0508528899114,14.3074609503036,14.2981504288607
gasPrice-4,9.02,9.11691606096973,9.31067465214158,9.49439798554813,9.53243590811003,9.80543027461314,9.62380201221495,9.48223874486184,9.50771140579092,9.81719290324057,10.1211395548072,10.367496158667,10.6453661730528,10.7065468000093,10.8068280487188,11.0329351028361,11.4538775253183,11.5198195526907,11.5967022105547,11.8896232025261,12.0960816342367,12.4686632352093,12.3067205334875,12.7322641311784,12.8530277207597,13.2243777914109,12.9044124503299,13.2061749329981,13.4222891811079,13.2534788121771,13.8625338657973,13.8810979219742,13.8268189659892,13.9672978968357,13.9488953555051,13.9178604014804,14.0915724456119,14.4038405251077,14.6583010624777,15.0115051900426,15.2590604772146,14.9361373403435,15.3475780164298,15.2650492451476,15.5890736926804,15.6504453357781,15.4810461696168,15.6282353910902,15.8250733750788,16.1296535647993
gasPrice-5,9.02,9.07982373210628,9.3176563123976,9.47294554999391,9.37206806288521,9.46695499173669,9.62844765442376,9.7083335090335,9.80327004029219,10.01782208972,9.91990248303855,10.0016875811078,10.2005055058591,10.5239754426484,10.8385017108577,11.1832778353515,11.0998859242783,11.1959525679435,11.5170899486729,11.6704767360757,12.1073894360533,12.2601630376735,12.239530122532,12.2019209347777,12.0156252718609,12.1605040658561,12.0600162801844,12.2384149432148,12.6580324127759,12.6821705437074,12.8877712492553,13.2671268231789,13.2715219387785,12.9343063744698,13.1522979889402,13.5202785288983,13.7374350661357,14.0652659752876,14.2989434996819,14.0886334050922,14.4187563798358,14.6794552304389,14.8164890818089,15.0703820102309,15.4089283275655,15.4547669193134,15.5561286898165,15.7752899371758,16.039790883611,16.306692548114
gasPrice-6,9.02,8.78657903420172,9.04717110517417,8.9627845632845,9.13601537482772,9.10186881917492,9.26291265466873,9.38615145003494,9.54292270665811,9.58413923739998,9.63359883918588,9.54928233056767,9.39497308190459,9.42370055937756,9.36429895036393,9.1773906476892,8.96152980762862,9.13378157978636,9.31714532969831,9.58881259889309,9.47275956795259,9.6205238306229,9.77444380420594,9.90216291168079,9.89512818986559,9.88345997562744,10.226741479883,10.4213097222023,10.4933467414263,10.6263590151375,10.5644721684473,10.3152864386785,10.4372787545186,10.4030208633509,10.4082707623981,10.390410842508,10.319359446196,10.2113345740122,10.5986917501133,10.6957509226311,10.8144518719749,11.2083546328551,11.1955093202542,11.3207838123667,11.6157450737638,11.6419803417587,11.6517859388629,11.9749171634357,11.9692285112964,11.90773117419
gasPrice-7,9.02,8.87664961378879,8.93156493412702,9.17195656583554,8.93083762954351,8.93800088462518,9.12204325887883,9.32892799439314,9.25414566694887,9.38303508464159,9.76306253404737,9.7084523021153,9.94495926135334,10.3477695263067,10.4244996078315,10.5905051674304,10.7837857157604,10.8046531625711,10.6126241360796,10.5459065524804,10.5465393575767,10.5881050989955,10.7150767444888,10.616006621055,10.6667480029558,10.7443317610707,10.9254460205771,11.0730944005112,11.0823408512841,11.1977930670645,11.1717652468508,11.366674736267,11.8677566691752,11.8734822873472,11.8497674709716,11.8907685439069,11.7743406273229,11.6064163949511,11.6703389361118,11.5731210105739,11.5458122846439,11.7340286200038,11.8404557698197,11.7365829750035,11.9024339972715,12.0263936028707,12.0445417795581,12.1374285043578,12.1662919624584,12.2377281428815
gasPrice-8,9.02,9.23228264277819,9.25928349616016,9.38609699082643,9.5314663779521,9.61348106712372,9.70446276368941,9.97972568840899,10.079941467414,10.159601155927,10.5822219360277,10.3984564841114,10.5066884847479,10.4779803131999,10.5306545792377,10.5973946597765,10.642575313561,10.7712156037784,10.9249107541085,11.1236611649945,11.0606376753378,11.3868037645405,11.2072290245121,11.3518040614696,11.4454058429154,11.6882182884672,11.9974505331418,12.1666128171051,12.2248466569814,12.5562796434388,12.5176978670289,12.8647427607896,13.299972817094,13.702822573065,14.1677447286576,14.7706044019757,14.779575152092,14.8311032392269,15.20024060302,15.5684194902092,15.5150608296745,15.7882946884597,15.9614422611081,16.065123925125,15.7575710020869,15.9093741222161,16.3810438997569,16.4398720932088,16.356390844307,16.7219600455452
gasPrice-9,9.02,9.14661673256232,9.18448441469005,9.06696720893523,9.29830020653593,9.5786723226851,9.73237598336711,10.0072848498577,9.95314997942933,10.0226736495922,10.029101701274,10.5080482157591,10.5048662346174,10.6183824228849,10.7838222715205,11.0404981359396,11.2133713875069,11.4824164034511,11.8262396528098,11.7845398373973,11.9976867989215,12.2568740702493,12.4519942093451,12.6510623186499,13.112745258551,13.1334609400775,13.186265876719,13.1126239733504,13.0310925600903,12.932171942584,12.9147285450643,12.9704728333597,13.0665096068691,13.3885449807101,13.7900559657031,13.9567223530298,13.9397092199724,13.7312421221267,14.0558055194367,14.6179247251898,14.6720167045519,14.8613227322441,15.0346015860623,15.1536678128411,15.0261729942015,15.1495640743472,15.3133508397289,15.7590056431936,15.952268550162,16.3194759415802
gasPrice-10,9.02,9.08907975513031,9.08356399183861,9.13584978849156,9.21731646082317,9.53863294187937,9.80245987440263,9.76332250239828,9.98423533243516,9.71474261193014,9.91406258299909,9.84789240168051,9.7240065867487,9.62333728281475,9.64358210312199,9.65957474965393,9.81918434654838,9.67744740899639,9.95570290358518,10.2857874554758,10.4641054136361,10.6129088687203,10.873251922087,11.1304780049012,11.1510423242099,11.114019937948,11.5615511330602,11.8310470654336,12.3355909185768,12.4448568699135,12.6834552113934,12.4715935932668,12.7923595824005,13.0192499796572,13.4609879113031,13.8067634563384,13.3927117693917,13.8406946232787,13.7097487365594,13.7640271908608,14.1215681850259,14.2949150257641,14.7135413065792,14.653362622819,14.7515920058935,15.0213700589798,15.101725352323,15.2606570517566,15.7318652646838,15.8742213330901
