,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
lignitePrice-1,1.428,1.43556258604588,1.43588270477465,1.43207863787427,1.42950931455589,1.43347466556677,1.44249354747443,1.44338389733984,1.44473438032882,1.45589437673822,1.46103606198973,1.45691790406546,1.44847313595469,1.44598074937611,1.44065844920513,1.43706065731523,1.43634438189484,1.44212264652118,1.44861731362736,1.44428314452464,1.43991794154373,1.43410458725764,1.44746468489934,1.45567216579232,1.46142170450907,1.47401318433839,1.46626555752862,1.46091406592275,1.46266368905149,1.46520907912854,1.45241728751771,1.44608719072961,1.44637835330879,1.43864528700828,1.43458449706121,1.43443944266654,1.44163028798444,1.43514956990298,1.43135477764271,1.42744847871322,1.4228693227106,1.41393893858173,1.41315547947807,1.41985251714146,1.41639009477779,1.41301337058497,1.41888728831258,1.41154921269358,1.40341095629852,1.399925419048
lignitePrice-2,1.428,1.42318254913849,1.42017324061534,1.41260038396067,1.41552172540158,1.41155564852013,1.41871078643524,1.41823393763942,1.41285352408317,1.41175588432082,1.41572790504196,1.41082341858365,1.40975595057173,1.41501744142255,1.41673854053657,1.41968557982925,1.41702752874154,1.41903795898608,1.42185112508498,1.42622469520735,1.43220783160298,1.44115503846923,1.45273357840041,1.45016977279187,1.44910944194365,1.44561477537767,1.44781247480928,1.44085142192997,1.44124020859049,1.44708295282734,1.44053271809971,1.44356076694659,1.44969619708945,1.44730800635618,1.45159249840697,1.44804338486647,1.43973768130155,1.43745604703113,1.42693720910495,1.43165066913838,1.43040314817006,1.43302351653868,1.43068378301674,1.43375067317879,1.43406914428563,1.43904474543048,1.43070246265934,1.440436316835,1.44786370250477,1.44396903039338
lignitePrice-3,1.428,1.43107199896596,1.4364446370397,1.44200472641079,1.44133748337013,1.45072856582489,1.44434129097129,1.44565917830742,1.44395218143537,1.43431432996468,1.43636682427167,1.42808112418157,1.43767859256709,1.43124068404642,1.4363278215299,1.441468172159,1.45333607428071,1.46207887992819,1.45446596468432,1.45162657263795,1.45647120371581,1.45117168312327,1.45458000910949,1.45208434234468,1.45508915294679,1.44201866377658,1.4456514961287,1.45202521778444,1.45300362343771,1.4499281081705,1.4539306775778,1.44813256231232,1.43923377982075,1.43103916670464,1.43065253159639,1.42079960479137,1.41906260777252,1.41403401537772,1.41915648443951,1.42207896790161,1.43038359451176,1.43134014267728,1.42244262846056,1.42465173392994,1.42920669186658,1.42345242342166,1.42815593837599,1.43423087019843,1.43120788841184,1.42984411599069
lignitePrice-4,1.428,1.42584025282764,1.43463591652405,1.43063725146614,1.42915164212544,1.42810084667762,1.42268667574114,1.41731876234826,1.41669524917752,1.41543084278575,1.41883686205924,1.42010296813769,1.4211388170489,1.42391482980365,1.4207934578995,1.41989070220624,1.42220575569897,1.42317873591951,1.42842896868154,1.4351314681504,1.43135616943298,1.42545899260569,1.42517138680635,1.42890578332095,1.44089537950452,1.4323002895491,1.43616589559952,1.44904967100244,1.44315336760548,1.43586221201359,1.43359089682674,1.42112847798286,1.42274725721232,1.41698622046237,1.41601436516072,1.40781120588095,1.41183474837641,1.42340345060552,1.42053181618526,1.42779086494444,1.42120746025506,1.41897353330696,1.41918799205381,1.4214862490036,1.41322955247679,1.41272960365986,1.41409097642399,1.42276711665185,1.43212771812898,1.42850889187506
lignitePrice-5,1.428,1.42352444538791,1.4324063669383,1.43383225446576,1.43177009734176,1.43070486231162,1.44398697582536,1.44362761834325,1.45448849935312,1.45566652049879,1.45862721426441,1.45752203853879,1.46532011225407,1.46287053235067,1.46640091188059,1.45716192234644,1.45901797924726,1.46198559241638,1.46776430437264,1.47299310993572,1.47830057878555,1.47537360058876,1.4706017308281,1.46650628750318,1.4779006780086,1.47759704981944,1.47783455398077,1.47832698857272,1.4776056128746,1.48302343202081,1.47395143584489,1.46125749168003,1.4674110307595,1.47394401732475,1.47404747580977,1.47449202953402,1.47850289446144,1.47818820785217,1.47559792406367,1.48787166163459,1.48260237395513,1.48303049204166,1.48155413472092,1.4867304376078,1.49785593678738,1.49171780279955,1.49349535573982,1.49553791538588,1.49679781574364,1.49561331035264
lignitePrice-6,1.428,1.42772203279945,1.42337506364447,1.42291347570667,1.42240733110657,1.41545407952803,1.42789714127231,1.42715791517895,1.42264758709229,1.40933796920172,1.42013528318275,1.42696800639411,1.42522005212354,1.42560300603138,1.42779639784532,1.43231084961913,1.43854574129026,1.43460829900411,1.43202488324281,1.44441716096258,1.446684568613,1.44353398765148,1.4480482273792,1.44481086462122,1.44250599276046,1.43903321862552,1.44377495586627,1.44551217671079,1.45212493106012,1.4519029769331,1.45006840840338,1.44507328514093,1.44663618794056,1.4568848756707,1.45793878731997,1.46385559654171,1.46513815284767,1.46656209535869,1.46152396261495,1.45446468361123,1.46510837531493,1.47029570000451,1.47477379900861,1.46934626986617,1.47367590991454,1.47444113713108,1.4674772948942,1.4685424031119,1.48050332233576,1.47947969724591
lignitePrice-7,1.428,1.43149741143718,1.42462317840676,1.42549106780555,1.41895971831354,1.41877040596942,1.41207878508836,1.40652188586837,1.40815775038011,1.41393163583057,1.41889102999463,1.41298737989651,1.40207450019285,1.40153485808545,1.40177406960789,1.40567401941185,1.40772216705585,1.40914134321061,1.40313702136181,1.41457907911843,1.41234769358222,1.41114159440808,1.41304675332325,1.41176345829786,1.40939147551589,1.39984567603687,1.39739661367412,1.400277816417,1.39852738859319,1.39985924318263,1.38987033193339,1.39718623066626,1.39230984942543,1.38539338510597,1.38904789585794,1.38287504978898,1.38323201798893,1.39442320769451,1.40041277683667,1.40317384724646,1.3995893875567,1.40123255891618,1.40078394946128,1.40248132968615,1.40872037873482,1.40301613127004,1.4083448843952,1.40331997110818,1.40656851123971,1.40339270768054
lignitePrice-8,1.428,1.42571852896284,1.42724156847406,1.42998533005421,1.43474900239674,1.44462511402486,1.43950753868385,1.43039209088424,1.43298096360148,1.43906395891083,1.4307736550437,1.422221692932,1.42368579716839,1.41696669226964,1.42966719296714,1.41993046928223,1.41947967357657,1.42154295118115,1.42268506499893,1.41345799733843,1.41140833359383,1.40921807718405,1.4101061422335,1.41761301903998,1.41703073878312,1.40607313422376,1.3953220371139,1.39587456709809,1.39709877540091,1.39216895082353,1.3869007962688,1.38078546763678,1.38851520707177,1.3810246959446,1.37869668034173,1.3794937788367,1.38009387968676,1.37438736674589,1.37258044631897,1.37365893329152,1.37967344919648,1.38466752233079,1.38203787852592,1.37216554662996,1.3673259797814,1.36793075412616,1.3795779963251,1.38104845392454,1.37794592800453,1.37519194165136
lignitePrice-9,1.428,1.42467331814487,1.41622371301687,1.41601062629649,1.41629931613995,1.40625099489368,1.39881382093703,1.40383594840104,1.39937097413345,1.4011644282266,1.40129992669404,1.39757822921362,1.40061330484631,1.40608104644419,1.41302154427174,1.41070915306525,1.40748829272885,1.40879234103365,1.40924215576032,1.41078484778318,1.42145205616329,1.42759992977156,1.42797667345313,1.42973980635103,1.4421998139312,1.4463756211438,1.43855020731691,1.43109542424296,1.43920247033011,1.43457506064003,1.43301022400654,1.43706808407828,1.43108520580218,1.44083531424194,1.43980938136129,1.44070021679099,1.44108800279702,1.4520689610971,1.45437025069573,1.46273676229235,1.45635958344217,1.4630500450138,1.47061667800388,1.47302733457529,1.47559621561673,1.47868585842235,1.47531112946715,1.4800193493648,1.48166832316186,1.48281503878619
lignitePrice-10,1.428,1.42867817907973,1.42552364660686,1.41434329798349,1.41619872027621,1.42524352871704,1.41761833065637,1.40855460412665,1.41247426672452,1.41055233354108,1.4184602253401,1.42536483912104,1.42272545013067,1.42127976170899,1.41907378401504,1.41814613513872,1.42091597989607,1.42536442109269,1.42495417749463,1.43691062095426,1.44599164693561,1.45313228205893,1.4468286800289,1.45046175976499,1.44576779433212,1.44969753157235,1.44374978382372,1.44697057313594,1.44286933203664,1.44024592316991,1.44090405804704,1.44375837605919,1.4420074180985,1.44298166621634,1.44739098479304,1.44963271579085,1.44369157341706,1.43966039128959,1.43640870914838,1.43514794921722,1.43612257478595,1.44008866948455,1.4427625723483,1.44816087316867,1.44831926808,1.44991321583317,1.45111592293515,1.45401627607718,1.45527584612869,1.45745558582307
lignitePrice-11,1.428,1.41983663119747,1.42275581172958,1.41369744103531,1.41689259130427,1.41769877834385,1.42954476910029,1.43300924961195,1.42785930323243,1.43236725191151,1.43428307350359,1.43206962244811,1.44016034983788,1.43392578367914,1.44323024842484,1.44509976845342,1.44533423235114,1.44162651594109,1.43960297727275,1.43257597312495,1.42446433926975,1.41701565239495,1.42032804820031,1.42383795625124,1.42880877606209,1.43098080230702,1.43644172056581,1.42714469719812,1.42068587035304,1.41921419715689,1.43252581081791,1.42463668704214,1.42332447565404,1.42864791665011,1.43579484279838,1.44269258759044,1.4421232424528,1.44180159512876,1.43989554993558,1.43798649174418,1.44643441671258,1.44051049044473,1.44350722752766,1.43996911651265,1.44316733905526,1.44891942742701,1.45479053226621,1.45960894008697,1.46195747635553,1.46138724033486
lignitePrice-12,1.428,1.42307126055961,1.41754827578905,1.42444018873144,1.42716888028742,1.42000899196965,1.42484075707171,1.41850306382504,1.42186993106844,1.41989197763238,1.41610175317193,1.41781480017451,1.41915973405039,1.42177819784722,1.43042926256206,1.43505590934533,1.43927899078074,1.44464401590034,1.44070555691641,1.43679716677871,1.43669237513415,1.43831786637839,1.44736719982209,1.44504004043126,1.45167066924352,1.45128211927814,1.45656951331919,1.45500930443221,1.46453084326369,1.46223600332953,1.46479720193029,1.47140884658152,1.48269014901979,1.47770768075895,1.48448242743285,1.47532850014994,1.47652857269758,1.48741866309126,1.48395455388016,1.48184213358425,1.48505687129956,1.48052385354516,1.46897376435631,1.48234984685382,1.48527597998422,1.48148642710462,1.4841598555927,1.48175916382284,1.48471223360536,1.48609360630211
lignitePrice-13,1.428,1.43486365829886,1.43897332172042,1.44047555122075,1.44357245210545,1.43356500751868,1.43042717909387,1.42139843249301,1.4211204959801,1.4205995661091,1.4140792935682,1.41923004067287,1.42996374550001,1.44179033178926,1.42966194293856,1.42498509047857,1.42899750102303,1.42792518470121,1.42911953878404,1.43142266027823,1.42031198971234,1.42630256154289,1.42826297417048,1.42677585029423,1.42081276906488,1.42160129367155,1.41556896260784,1.41236307952081,1.40713668873492,1.40989922709048,1.41377350534514,1.41120643538921,1.41387371772367,1.41989671503604,1.4197154732416,1.41339000900522,1.41460162750517,1.42159762953421,1.41854460416556,1.40907736172126,1.39680491327324,1.39211767349054,1.38440418123696,1.37316838646275,1.36518697825388,1.37088553592652,1.3745254220405,1.37306091857433,1.37365209112686,1.37415157444585
lignitePrice-14,1.428,1.43029187453599,1.4328889306235,1.44044651919506,1.4397604717321,1.43243611409398,1.43327793279348,1.42280074827617,1.43115425722584,1.43041800974388,1.42193586830501,1.42439552512183,1.41985917255754,1.41930395556723,1.41092437503215,1.41421553613909,1.41696674115336,1.42001475507671,1.42660329743419,1.42708424836281,1.42054700228146,1.4214389405702,1.42635476050513,1.41518419911119,1.41929474711591,1.41964957334424,1.41473599019101,1.41140694277324,1.40386901944946,1.41701184215936,1.40712846281537,1.40677726472621,1.40312564505721,1.39387513169004,1.39254560889694,1.38758256979146,1.38627952988354,1.37618361855367,1.37438878090215,1.36923472542703,1.36667155401322,1.37157332265542,1.37214635816105,1.36503748301728,1.37086107584628,1.36882782712934,1.37442855454645,1.37406994623169,1.37813477515402,1.37601019607657
lignitePrice-15,1.428,1.42688777475303,1.42778613906189,1.41934786260447,1.41850342776017,1.42966152392196,1.43059502788724,1.42718047862557,1.42882039212413,1.4369556009911,1.43751689545761,1.43019063340479,1.41819182290686,1.42745990718115,1.41676846298251,1.42280480324758,1.42803210121496,1.4374227720529,1.43569877699765,1.4350484071771,1.42160753247371,1.42859130208162,1.42453427785336,1.43144402618739,1.43718228926976,1.43560833631999,1.4345845288683,1.44035933479165,1.44079757862224,1.44619677686327,1.44235034158345,1.4349460084661,1.43840913024514,1.42918814370114,1.42815207470145,1.4279029986436,1.42541944206433,1.43007548986623,1.43539889574501,1.43509166005467,1.43342864849709,1.4274616356164,1.4288381947833,1.42164558230873,1.42389548070304,1.43301049413165,1.42766351217392,1.42259614927908,1.41935057305757,1.41569729802732
lignitePrice-16,1.428,1.43050901201939,1.42128268849567,1.4208680399723,1.42129166402361,1.42659564159966,1.42573528006653,1.43246211951582,1.42086762502069,1.41085145700389,1.41061228502925,1.41178069665598,1.40929134197792,1.41466324455893,1.4160042459009,1.41475776942598,1.40684923672798,1.40892892163449,1.41342891723904,1.41850123306875,1.41577606242898,1.40419788933631,1.4010067635999,1.39536667828478,1.38796994737322,1.37953509317167,1.36618743041324,1.36803827328849,1.35981501385251,1.35083444068705,1.34576865301207,1.34293158174302,1.33936956166043,1.33321549673694,1.3381455127593,1.33684991205174,1.33140801027651,1.33414957110534,1.3293606453685,1.33070238002785,1.32895654979837,1.3303989357215,1.32208655655496,1.31897267127215,1.32903537365548,1.3201972247273,1.32735541578598,1.33773380016476,1.33311211944083,1.33501189824454
