,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
uraniumPrice-1,1.29,1.28975298348054,1.30236679538097,1.29514862973563,1.28986515418818,1.2888763290558,1.29439633812614,1.29219646192853,1.29121406375068,1.28816675234193,1.28418410097101,1.28034384320731,1.28127425443567,1.27744199364347,1.28154350862944,1.27331467710972,1.27133247743515,1.27285108945732,1.277454098373,1.27836259203096,1.27700328525501,1.27813366738198,1.28089340730094,1.2832030665189,1.27660749651982,1.27035304104106,1.26917453143657,1.26212922788891,1.25776166906043,1.25765402861103,1.26075640629198,1.25418687041532,1.26278255194463,1.25915596834253,1.26010008819746,1.26242594090232,1.25462120627605,1.2503827214863,1.25123582716211,1.25401805701265,1.25978533464257,1.25769393925521,1.25225113369025,1.25113008739897,1.25350540263329,1.2519438677015,1.24765539423535,1.24309398068663,1.24316278444486,1.24868834442147
uraniumPrice-2,1.29,1.29025717201783,1.29568752346752,1.29942416416313,1.29680870165381,1.29917003405192,1.28968231867619,1.2915626706265,1.29155114792251,1.29863969993091,1.30084961450827,1.3017075118604,1.30064138531465,1.30101460711306,1.30407575632512,1.30680409854592,1.30496029276839,1.30586162487623,1.30987866551306,1.31730236975872,1.31767566545811,1.31525806681359,1.31626582197408,1.32090447302659,1.32071345558332,1.32031993685783,1.31761206697784,1.32002630598616,1.32090629098814,1.3207706507659,1.31685918797047,1.31633338220405,1.31419448550668,1.31359954610144,1.31330469877129,1.31923763668835,1.31953410149633,1.32588598926347,1.32334704676894,1.31998820038364,1.31846358780611,1.32962696277525,1.3186521404639,1.32765470203732,1.32418642964385,1.3320712487315,1.33025783001341,1.3286034395716,1.32430921144186,1.32890100665503
uraniumPrice-3,1.29,1.281910892611,1.27367045675966,1.28381017665397,1.27649687234795,1.2766051201722,1.26622651584162,1.26776205554957,1.27484860429526,1.27829070322403,1.28526373915688,1.28580292678318,1.28854762717405,1.28823794783763,1.28230659366065,1.27843829712418,1.27836572266233,1.28139808823006,1.28344130677726,1.28125189453399,1.28424606754367,1.28628720864173,1.29018125805846,1.29763216209871,1.30224703699968,1.30552897861742,1.30556064299355,1.30812080534403,1.29845422059145,1.29111016157863,1.2929462642956,1.29262725344627,1.28665517377904,1.28374922672118,1.2929474633117,1.29468166936069,1.29533456883872,1.28627528527204,1.29253755850868,1.28411911184848,1.2859339857466,1.28892992909863,1.27971343551008,1.28113532320871,1.28179482521351,1.28578535674623,1.27751725479282,1.28241720308486,1.27661314959529,1.28141342972565
uraniumPrice-4,1.29,1.28972237806474,1.28712361914572,1.28295955858228,1.28861833046113,1.28316856488535,1.27653182284028,1.2730262317907,1.27631832549564,1.27989570072062,1.2762396390286,1.28243802309981,1.29276248085699,1.28872881687879,1.28696000746042,1.28759952192297,1.28799535574007,1.28545032978015,1.28801636499701,1.29061709288851,1.29177974602881,1.2888662305658,1.29679482749096,1.29363844536426,1.30025030325601,1.30009707227675,1.30618004843548,1.30538090564261,1.29481115088859,1.29097264403282,1.29053816641687,1.28306468610484,1.28091666309077,1.2895429673378,1.28859060658894,1.29041053971926,1.29115876898132,1.29097789744517,1.29140696026612,1.29190940421409,1.28707038880824,1.28892871020344,1.28857758685679,1.29340328429749,1.30184839462985,1.30544783443722,1.31116708176423,1.30686130059171,1.31461172790707,1.31654804570014
uraniumPrice-5,1.29,1.28551258941785,1.28068264687002,1.28633492983898,1.28031849570918,1.27895319714641,1.27168038739105,1.2733598904842,1.27333727365343,1.27152779204171,1.27738249522827,1.27558140504048,1.27300176628905,1.27586833580314,1.2813502492742,1.28038504743108,1.2835590857149,1.27771602826276,1.27405909456818,1.28267689657248,1.28299773893584,1.28604758312466,1.28523342856677,1.28632728832307,1.28704168805899,1.28712153205678,1.28502685054321,1.28590715309817,1.28564926692608,1.28424287416487,1.27763990209517,1.27670472803649,1.28396427362099,1.28920179899313,1.29471543514378,1.28615345718931,1.28391471210126,1.28394202290258,1.28083496103512,1.27849471151487,1.27813507627852,1.28234852594156,1.28318380198931,1.27992501844571,1.29039161168707,1.29619883544298,1.29819044734095,1.29443164022459,1.30410972985716,1.29740363922227
uraniumPrice-6,1.29,1.2896102894785,1.2822947703358,1.28382550846309,1.28467356845818,1.28756545095473,1.29056033630887,1.28345561753531,1.28350652590992,1.28269718917076,1.28531777341394,1.27962231607988,1.2705787206738,1.27104164938969,1.2742664561438,1.27581087251372,1.27958673169603,1.27301755356729,1.27341929461633,1.27720015568279,1.27853626038861,1.27840273293467,1.28466799891964,1.28674984610068,1.28205702903749,1.28537891751424,1.29136116840294,1.28616772992877,1.27953136731471,1.28549760535878,1.28218393573984,1.28091053472803,1.28269664982334,1.28263021881294,1.28462685912927,1.28819169779826,1.28305790242141,1.27608233183098,1.27100056860994,1.2642188560084,1.26760377625042,1.26935507990877,1.27667619932434,1.27925896254076,1.28379534205241,1.28882465673696,1.2918219559692,1.28498509303292,1.28214487108215,1.2801748773862
uraniumPrice-7,1.29,1.29643747924019,1.30729480848378,1.30600696500681,1.30309990552,1.30612295900988,1.30319362037113,1.29907645353548,1.29664513350692,1.29285511101981,1.28355666253265,1.27838598689319,1.27750686673612,1.27804045354929,1.27740752439614,1.27394493507072,1.28491809563399,1.28957608242665,1.28454624656128,1.27643359431292,1.28007048163244,1.28786121798737,1.29377980343755,1.28849344400222,1.29476879774295,1.29705457554566,1.28868611757542,1.28307123389664,1.29163360063178,1.29233105894754,1.29437123730235,1.29957717408075,1.29233331430783,1.29645556652626,1.30213635188204,1.29465228256612,1.29609395835664,1.29271336626632,1.28554754306507,1.27659826606453,1.28198201021505,1.28225341219428,1.28588961205382,1.28806237428373,1.28794413857277,1.28940627316531,1.29221705738323,1.2884818141032,1.29199854596215,1.28327154313842
uraniumPrice-8,1.29,1.28804183721053,1.27855057905876,1.28343451196341,1.27989431344583,1.2859781307348,1.27987351323891,1.28139205768559,1.27681590179836,1.28281482628642,1.28581632612541,1.28745875282585,1.28307587703413,1.28107333326009,1.28459788234525,1.285835049469,1.2771978134604,1.27882989711931,1.28070405499111,1.27658053786919,1.27724778389217,1.27762633330208,1.26843100569617,1.27061191387952,1.26968472314326,1.27081846038085,1.27623170864229,1.26492783521466,1.26323425625115,1.25874084308879,1.25204670658488,1.24856102872866,1.24288621010092,1.24666039059505,1.24635373974339,1.23631084347988,1.22691482196193,1.23396764019972,1.24081960138206,1.24409987255007,1.24072008277972,1.2372314816945,1.23566677816048,1.22916835905245,1.22695083527566,1.23070783736842,1.22391680139266,1.21469185109286,1.21060487889615,1.2136583870372
uraniumPrice-9,1.29,1.28967443014707,1.29773542939936,1.28909715328485,1.28941765923375,1.29436193996251,1.29962737430104,1.29765359232614,1.30185761857474,1.29649290147461,1.29679736489229,1.29991355055402,1.3020789081834,1.29760720693496,1.29335381543067,1.29453209515406,1.28912746320157,1.2885746945321,1.2949014335428,1.29498784950696,1.29458199699701,1.30372892565166,1.30369714896833,1.29450355403783,1.29538034054534,1.29620211055833,1.28953932399076,1.29555005809393,1.29607582744709,1.30238756120524,1.30609682784332,1.30163719498001,1.31124534775429,1.3137921296508,1.30664807962813,1.30788992179686,1.31678326634766,1.32548445021365,1.32045069967265,1.3194007899577,1.31032599942974,1.30774039553725,1.30852489070358,1.30739591663443,1.31439647827786,1.31847355321605,1.32138171244225,1.33059221820338,1.32731870311157,1.31983047202447
uraniumPrice-10,1.29,1.29138618963874,1.29281401059949,1.3003466449308,1.29342977525094,1.29447711152828,1.2938494842312,1.29547261536928,1.2931626332864,1.28490912652693,1.29315723320368,1.2909292393098,1.2862250919436,1.28814877788957,1.29122445258968,1.29706468877253,1.29847166360071,1.30290171602442,1.29727532493032,1.29979041635244,1.29760950167061,1.2953451044606,1.29600013883854,1.29237578682635,1.29511726825588,1.2993976625826,1.3053730944755,1.30122996243731,1.29654673885558,1.29647563720581,1.29878350247298,1.29995935630229,1.30177701982545,1.30106322850916,1.29560833512804,1.29509449490988,1.29272116976515,1.3016390364494,1.30477706093822,1.3077660199171,1.31401899429858,1.30687182375499,1.29648823137732,1.29718655658727,1.30646168650665,1.31176367783897,1.31241768517871,1.3205183217253,1.31163306043844,1.3075724633377
